en,fr,de,tr,es,title,speaker,duration,tags
"
											There's one more thing you can do
to protect yourself
											from experiencing
the symptoms of Alzheimer's,
											even if you have the full-blown disease
pathology ablaze in your brain.
											It has to do with neural plasticity
and cognitive reserve.
											Remember, the experience
of having Alzheimer's
											is ultimately a result of losing synapses.
											The average brain has
over a hundred trillion synapses,
											which is fantastic;
we've got a lot to work with.
											And this isn't a static number.
											We gain and lose synapses all the time,
											through a process
called neural plasticity.
											Every time we learn something new,
											we are creating and strengthening
new neural connections,
											new synapses.
									","
											Vous pouvez faire une autre chose
pour vous empêcher
											de vivre les symptômes d'Alzheimer,
											même si la pathologie
est bien déclenchée dans votre cerveau.
											Cela est lié à la plasticité neuronale
et la réserve cognitive.
											Souvenez-vous, avoir Alzheimer
											est finalement le résultat
de la perte de synapses.
											Le cerveau moyen a plus
de cent billions de synapses,
											ce qui est fantastique ;
nous avons beaucoup de matière.
											Ce nombre n'est pas statique.
											Nous gagnons et perdons
constamment des synapses
											via un processus appelé
plasticité neuronale.
											Quand nous apprenons
quelque chose de nouveau,
											nous créons et renforçons
de nouvelles connexions neuronales,
											de nouvelles synapses.
									","
											Es gibt noch eines,
dass Sie tun können,
											um sich vor dem Erleben der 
Alzheimersymptome zu schützen,
											auch wenn Ihr Gehirn bereits alle 
Anzeichen der Erkrankung aufweist.
											Es hat mit neuronaler Plastizität 
und kognitiven Reserven zu tun.
											Denken Sie daran, das Erleben 
der Alzheimerkrankheit
											hängt mit dem Verlust 
von Synapsen zusammen.
											Das durchschnittliche Gehirn hat 
über einhundert Billionen Synapsen,
											was fantastisch ist;
wir haben viel, das wir nutzen können.
											Und es ist keine statische Zahl.
											Wir bilden und verlieren ständig Synapsen,
											durch einen Vorgang, der 
neuronale Plastizität genannt wird.
											Jedes Mal, wenn wir etwas Neues lernen,
											bilden und stärken wir neue 
neuronale Verbindungen,
											neue Synapsen.
									","
											Beyninizin yapısında,
tüm hastalık işaretleri
											görülse de, kendinizi Alzheimer'dan
											korumak için yapabileceğiniz
bir şey daha var.
											Bu da nöral şekillendirme ve
zihinsel arşivinizle ile alakalıdır.
											Alzheimar'a yakalanmanın
sinapsleri kaybetmekten
											kaynaklandığını hatırlayın.
											Ortalama bir beyinde
yüz trilyondan fazla sinaps vardır ki
											bu da muhteşem bir şey;
çalışabileceğimiz sayı çok fazla.
											Bu sabit bir sayı da değildir.
											Nöral şekillendirme sürecinde,
											birçok sinaps kazanır ve kaybederiz.
											Her yeni bir şey öğrendiğimizde,
											yeni bir nöral bağlantı, 
yeni sinaps yaratıyoruz
											ve güçlendiriyoruz.
									","
											Hay algo más que pueden hacer
para protegerte
											de los síntomas del alzhéimer,
											aunque su cerebro parezca
tener un cuadro patológico completo.
											Tiene que ver con la neuroplasticidad
y la reserva cognitiva.
											Recuerden, la experiencia
de tener alzhéimer
											es en última instancia el resultado
de perder sinapsis.
											En promedio, un cerebro tiene
más de 100 billones de sinapsis,
											lo que es fantástico;
tenemos mucho con qué trabajar.
											Y no es un número estático.
											Ganamos y perdemos sinapsis
todo el tiempo,
											mediante un proceso
llamado neuroplasticidad.
											Cada vez que aprendemos algo nuevo,
											creamos y fortalecemos
conexiones neuronales nuevas,
											sinapsis nuevas.
									",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
","
","
","
","
",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
											In the Nun Study,
											678 nuns, all over the age of 75
when the study began,
											were followed for more than two decades.
											They were regularly given
physical checkups and cognitive tests,
											and when they died, their brains
were all donated for autopsy.
											In some of these brains, scientists
discovered something surprising.
											Despite the presence of plaques
and tangles and brain shrinkage —
											what appeared to be
unquestionable Alzheimer's —
											the nuns who had belonged
to these brains showed no signs
											of having the disease
while they were alive.
									","
											Durant une étude sur 678 nonnes
											ayant toutes plus de 75 ans
au début de l'étude,
											suivies durant plus de deux décennies,
											on leur a régulièrement fait passer
des examens médicaux, des tests cognitifs
											et à leur mort, leur cerveau fut autopsié.
											Dans certains de ces cerveaux,
											les scientifiques ont fait
une découverte surprenante.
											Malgré la présence de plaques, de nœuds
et de rétrécissement du cerveau —
											ce qui semblait incontestablement
être Alzheimer —
											les nonnes qui possédaient ces cerveaux
n'avaient montré aucun signe
											de la maladie durant leur vie.
									","
											In der Nonnenstudie
											wurden 678 Nonnen, alle über 75, 
zu Beginn der Studie
											über mehr als 2 Jahrzehnte beobachtet.
											Sie erhielten regelmäßige körperliche 
Untersuchungen und kognitive Tests
											und als sie starben, wurden ihre 
Gehirne zur Autopsie freigegeben.
											In manchen Gehirnen haben Wissenschaftler 
Überraschendes entdeckt.
											Trotz Plaques, Tangles 
und Gehirnschrumpfung —
											was ohne Frage auf Alzheimer hinweist —
											hatten die Nonnen, zu denen
die Gehirne gehörten,
											keine Anzeichen der Erkrankung gezeigt, 
als sie noch am Leben waren.
									","
											Rahibeler üstüne bir araştırmada,
											çalışma başladığında 75 yaşın
üzerinde olan 678 rahibe,
											yirmi yıldan uzun bir süre takip edildi.
											Düzenli olarak sağlık taraması
ve zihinsel testlerden geçtiler
											ve öldüklerinde beyinleri 
otopsi için bağışlandı.
											Beyinlerin bazılarında bilim insanları
şaşırtıcı bir şeye rastladılar.
											Plakların ve düğümlerin varlığına
ve beynin küçülmesine rağmen—
											ki bunlar kesinlikle 
Alzheimer işaretidir—
											bu beyinlerin sahibi olan rahibeler
yaşarken hiçbir Alzheimer belirtisi
											göstermemişlerdir.
									","
											En el 'Estudio de las monjas',
											678 monjas, todas sobre los 75 años,
al inicio del estudio,
											fueron observadas por más de dos décadas.
											Se expusieron regularmente
a exámenes físicos y cognitivos,
											y, al morir, donaron sus cerebros
para una autopsia.
											Los científicos descubrieron
algo sorprendente en algunos cerebros.
											A pesar de la presencia de placas,
ovillos y atrofia cerebral,
											lo que aparentaba ser alzhéimer
sin lugar a dudas,
											las monjas a las que pertenecían
los cerebros no demostraron síntomas
											de esta enfermedad
mientras vivían.
									",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
","
","
","
","
",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
											How can this be?
											We think it's because these nuns
had a high level of cognitive reserve,
											which is a way of saying that they had
more functional synapses.
											People who have more years
of formal education,
											who have a high degree of literacy,
											who engage regularly
in mentally stimulating activities,
											all have more cognitive reserve.
											They have an abundance
and a redundancy in neural connections.
											So even if they have a disease
like Alzheimer's
											compromising some of their synapses,
											they've got many extra backup connections,
											and this buffers them from noticing
that anything is amiss.
									","
											Comment est-ce possible ?
											Nous pensons que ces nonnes
avaient beaucoup de réserve cognitive,
											elles avaient plus
de synapses fonctionnelles.
											Les gens qui ont plus d'années
d'éducation formelle,
											un degré d'instruction plus élevé,
											qui participent régulièrement
à des activités mentalement stimulantes
											ont plus de réserve cognitive.
											Ils ont une abondance et une redondance
dans leurs connexions neuronales.
											Même s'ils ont une maladie comme Alzheimer
											qui compromet certaines synapses,
											ils ont beaucoup de connexions de secours
											et cela leur permet de ne pas remarquer
que quelque chose ne va pas.
									","
											Wie kann das sein?
											Wir glauben, es ist, weil diese Nonnen 
viele kognitive Reserven hatten,
											d.h. sie hatten mehr
funktionsfähige Synapsen.
											Menschen mit mehreren 
Jahren Schulbildung,
											einem hohen Bildungsgrad,
											die sich regelmäßig an geistig 
anregenden Aktivitäten beteiligen,
											haben mehr kognitive Reserven.
											Sie haben Nervenverbindungen im Überfluss.
											Auch wenn sie eine 
Krankheit wie Alzheimer
											und beschädigte Synapsen haben,
											haben sie viele zusätzliche 
Verbindungen zur Datensicherung,
											die als Puffer dienen. 
Sie merken nicht, dass etwas fehlt.
									","
											Bu nasıl olabilir?
											Bu rahibelerin yüksek düzeyde
zekâ arşivleri olduğunu sanıyoruz,
											diğer bir deyişle, daha fazla 
fonksiyonel sinapsleri vardı.
											Uzun yıllar eğitim alanlar,
											yüksek kültürel düzeyde olanlar,
											düzenli olarak zihinsel aktivitelerde
bulunanların hepsi
											daha fazla zekâ arşivine sahiptirler.
											Nöral bağlantılarında bir bolluk
ve bereket vardır.
											Yani Alzheimer gibi 
sinapslerinin bazılarını
											kaybedecekleri bir hastalıkta bile,
											birçok ekstra yedek bağlantıları vardır
											ve bu onların yanlış giden bir şey
olduğunu fark etmelerini önler.
									","
											¿Cómo puede ser?
											Pensamos que se debe a que las monjas
tenían un alto grado de reserva cognitiva,
											lo que significa que tenían
más sinapsis funcionales.
											Las personas con más años
de educación formal,
											con un alto grado de alfabetismo,
											que suelen involucrarse
en actividades que estimulan la mente,
											todas tienen una reserva cognitiva mayor.
											Tienen una abundancia y una redundancia
de conexiones neurales.
											Así que, aunque tengan una enfermedad
como el alzhéimer
											que comprometa algunas de las sinapsis,
											tienen muchas conexiones de respaldo
adicionales,
											y esto las protege de darse cuenta
de que algo anda mal.
									",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
","
","
","
","
",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
											Let's imagine a simplified example.
											Let's say you only know one thing
about a subject.
											Let's say it's about me.
											You know that Lisa Genova
wrote ""Still Alice,""
											and that's the only thing
you know about me.
											You have that single neural connection,
											that one synapse.
											Now imagine you have Alzheimer's.
											You have plaques and tangles
and inflammation
											and microglia devouring that synapse.
											Now when someone asks you,
""Hey, who wrote 'Still Alice?'""
											you can't remember,
											because that synapse
is either failing or gone.
											You've forgotten me forever.
									","
											Imaginons un exemple simplifié.
											Disons que vous ne savez
qu'une chose sur un sujet.
											Disons que c'est à mon propos.
											Vous savez que Lisa Genova
a écrit « Still Alice »
											et c'est tout ce que vous savez
à mon sujet.
											Vous avez cette connexion
neuronale unique,
											cette unique synapse.
											Imaginez que vous ayez Alzheimer.
											Vous avez des plaques,
des nœuds, une inflammation
											et des microglies
qui dévorent cette synapse.
											Quand quelqu'un vous demande
qui a écrit « Still Alice »,
											vous ne vous souvenez pas
											car cette synapse
dysfonctionne ou n'existe plus.
											Vous m'avez oubliée.
									","
											Jetzt ein einfaches Beispiel.
											Sagen wir, Sie wissen nur
eine Sache zu einem Thema.
											Sagen wir, es ist etwas über mich.
											Sie wissen, dass Lisa Genova 
""Still Alice"" geschrieben hat.
											Das ist das Einzige, 
was Sie über mich wissen.
											Sie haben diese einzige 
neuronale Verknüpfung,
											diese eine Synapse.
											Jetzt stellen Sie sich vor, 
Sie hätten Alzheimer.
											Plaques, Tangles, Entzündung
und Mikroglia verschlingen die Synapse.
											Wenn Sie jetzt jemand fragt: 
""Hey, wer hat ""Still Alice"" geschrieben?"",
											können Sie sich nicht erinnern,
											weil die Synapse versagt hat oder fehlt.
											Sie haben mich für immer vergessen.
									","
											Basit bir örnekle düşünelim.
											Mesela bir konu ile ilgili
sadece tek şey biliyorsunuz.
											Diyelim benimle ilgili.
											Lisa Genova ''Still Alice''in yazarı
											ve bu benim hakkımda
bildiğiniz tek şey.
											Sadece bu, tek nöral bağlantınız var,
											sadece bu tek sinaps.
											Şimdi Alzheimer olduğunuzu farz edin.
											Bu sinapsi yiyip bitiren plaklarınız,
											düğümleriniz ve iltihabınız var.
											Biri size ''Still Alice''i kim
yazdı?"" diye sorduğunda,
											hatırlayamazsınız,
											çünkü bu sinaps ya bozulmuştur
ya da kaybolmuştur.
											Beni sonsuza dek unutmuşsunuzdur.
									","
											Pongamos un ejemplo simplificado.
											Digamos que solo saben una cosa
de un tema.
											Digamos que es sobre mí.
											Saben que Lisa Genova
escribió ""Siempre Alice"",
											y es lo único que saben sobre mí.
											Tienen esa única conexión neural,
											una sola sinapsis.
											Ahora imaginemos que tienen alzhéimer.
											Tienen placas, ovillos, inflamación
											y microglía devorando la sinapsis.
											Ahora cuando alguien les pregunta,
""Oye, ¿quién escribió 'Siempre Alice'?"",
											no se acuerdan,
											porque esa sinapsis
está fallando o desapareció.
											Me han olvidado para siempre.
									",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
","
","
","
","
",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
											But what if you had learned more about me?
											Let's say you learned
four things about me.
											Now imagine you have Alzheimer's,
											and three of those synapses
are damaged or destroyed.
											You still have a way
to detour the wreckage.
											You can still remember my name.
											So we can be resilient
to the presence of Alzheimer's pathology
											through the recruitment
of yet-undamaged pathways.
											And we create these pathways,
this cognitive reserve,
											by learning new things.
											Ideally, we want these new things
to be as rich in meaning as possible,
											recruiting sight and sound
and associations and emotion.
									","
											Et si vous en aviez appris
un peu plus à mon sujet ?
											Disons que vous ayez appris quatre choses.
											Imaginons que vous ayez Alzheimer
											et trois de ces synapses
sont endommagées ou détruites.
											Vous avez encore moyen
de contourner les décombres.
											Vous vous souvenez de mon nom.
											Nous pouvons résister à la présence
de la pathologie d'Alzheimer
											en utilisant des chemins
qui ne sont pas encore endommagés.
											Nous créons ces chemins,
cette réserve cognitive,
											en apprenant de nouvelles choses.
											Idéalement, nous voulons que ces choses
soient aussi riches de sens que possible,
											utilisant la vue, le son,
les associations et les émotions.
									","
											Aber was, wenn Sie mehr 
über mich erfahren hätten?
											Angenommen, Sie wüssten 
vier Dinge über mich.
											Jetzt stellen Sie sich vor, 
Sie hätten Alzheimer
											und drei der Synapsen wären 
beschädigt oder zerstört.
											Sie haben immernoch einen Weg,
die Trümmerteile zu umgehen.
											Sie können sich noch an 
meinen Namen erinnern.
											Also können wir uns 
der Alzheimerpathologie,
											durch die Stärkung unbeschädigter 
Bahnen, widersetzen.
											Wir erschaffen diese Bahnen, 
diese kognitiven Reserven,
											indem wir Neues lernen.
											Idealerweise sollen diese neuen Dinge, 
so bedeutsam wie möglich sein,
											Seh- und Hörvermögen einbeziehen, 
verbunden mit Erinnerungen und Emotionen.
									","
											Ama ya beni daha fazla tanısaydınız?
											Diyelim hakkımda dört şey öğrendiniz.
											Farz edin ki Alzheimer'a yakalandınız
											ve bu sinapslerin dördü
hasarlı ya da yok oldu.
											Hâlâ enkazdan kaçacak
bir yan yolunuz var.
											Hâlâ adımı hatırlayabilirsiniz.
											Alzheimer'ın ortaya çıkmasına,
sağlam yolları kullanarak
											karşı koyabiliriz.
											Bu yeni yolları ve bilişsel rezervleri de,

											yeni şeyler öğrenerek yaratırız.
											İdeal olarak bu yeni şeylerin
mümkün olduğunca, anlamca zengin,
											görme ve duymayı, duygular ve bağlantıları
çalıştıran şeyler olmasını isteriz.
									","
											Pero ¿qué sucede si aprenden más de mí?
											Digamos que saben
cuatro cosas sobre mí.
											Ahora imaginemos que tienen alzhéimer,
											y tres de esas sinapsis
están dañadas o destruidas.
											Aún tienen una manera
de darle la vuelta.
											Aún puedes recordar mi nombre.
											Podemos resistir la presencia
de una patología de alzhéimer
											mediante el desarrollo
de rutas en buen estado.
											Y creamos estas rutas,
esta reserva cognitiva,
											al aprender cosas nuevas.
											Idealmente, se quiere que estas novedades
sean lo más ricas en significado posible,
											involucrado la vista, la audición,
las asociaciones y las emociones.
									",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
","
","
","
","
",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
											So this really doesn't mean
doing crossword puzzles.
											You don't want to simply retrieve
information you've already learned,
											because this is like traveling
down old, familiar streets,
											cruising neighborhoods you already know.
											You want to pave new neural roads.
											Building an Alzheimer's-resistant brain
											means learning to speak Italian,
											meeting new friends,
											reading a book,
											or listening to a great TED Talk.
									","
											Cela ne veut pas dire
faire des mots croisés.
											Vous ne voulez pas seulement retrouver
une information déjà apprise
											car c'est comme emprunter
des rues familières, connues,
											naviguer dans des quartiers
que vous connaissez déjà.
											Vous voulez paver
de nouvelles routes neuronales.
											Développer un cerveau
résistant à Alzheimer,
											c'est apprendre à parler italien,
											rencontrer de nouveaux amis,
											lire un livre
											ou écouter une super présentation TED.
									","
											Das bedeutet also nicht, 
Kreuzworträtzel zu lösen.
											Sie wollen nicht einfach 
vorhandenes Wissen abrufen,
											weil das einer Reise durch 
altbekannte Straßen gleicht,
											dem Herumfahren in Vierteln, 
die Sie schon kennen.
											Sie wollen neue Wege bauen.
											Ein gegen Alzheimer
resistentes Gehirn bauen,
											bedeutet Italienisch lernen,
											neue Freunde treffen,
											ein Buch lesen,
											oder einem großartigen TED-Talk zu hören.
									","
											Yani bu, aslında bulmaca
çözmek anlamına gelmez.
											Zaten bildiğiniz şeyleri 
tekrarlamak istemezsiniz,
											çünkü bu tanıdık, eski caddelerde
yürümeye, bildiğiniz çevrede
											dolaşmaya benzer.
											Yeni nöral yollar döşemeniz gerek.
											Alzheimer'a dayanıklı bir beyin yaratmak,
											İtalyanca öğrenmek,
											yeni arkadaşlarla tanışmak,
											kitap okumak
											ya da güzel bir TED Konuşması dinlemektir.
									","
											En realidad, esto no se refiere
a hacer crucigramas.
											No quieren simplemente recuperar
información ya aprendida,
											porque esto es como viajar
por calles ya familiares,
											cruzar vecindarios que ya conocen.
											Quieren crear 
nuevas carreteras neuronales.
											Fortalecer el cerebro contra el alzhéimer
											significa aprender a hablar italiano,
											hacer nuevas amistades,
											leer un libro,
											o escuchar una gran charla de TED.
									",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
","
","
","
","
",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
											And if, despite all of this, you are
someday diagnosed with Alzheimer's,
											there are three lessons I've learned
from my grandmother
											and the dozens of people I've come to know
living with this disease.
											Diagnosis doesn't mean
you're dying tomorrow.
											Keep living.
											You won't lose your emotional memory.
											You'll still be able
to understand love and joy.
											You might not remember
what I said five minutes ago,
											but you'll remember how I made you feel.
											And you are more than what
you can remember.
									","
											Et si, malgré tout cela, un jour
on vous diagnostique atteint d'Alzheimer,
											voici trois leçons que j'ai apprises
de ma grand-mère
											et des dizaines de personnes
que je connais et qui ont cette maladie.
											Le diagnostic ne signifie pas
que vous mourrez demain,
											continuez à vivre.
											Vous ne perdrez pas
votre mémoire émotionnelle,
											vous comprendrez toujours
l'amour et la joie.
											Vous ne vous souviendrez pas
de ce que j'ai dit il y a 5 minutes
											mais vous vous souviendrez
de ce que vous avez ressenti.
											Vous êtes plus que ce dont
vous vous souvenez.
									","
											Und wenn Sie, trotz all dem, eines Tages
mit Alzheimer diagnostiziert werden,
											gibt es drei Dinge, die ich von 
meiner Großmutter gelernt habe
											und von dutzenden von Menschen, 
die mit dieser Krankheit leben.
											Die Diagnose bedeutet nicht, 
dass Sie morgen sterben werden.
											Leben Sie weiter.
											Sie werden Ihr emotionales 
Gedächtnis nicht verlieren.
											Sie werden weiterhin 
Liebe und Freude verstehen.
											Vielleicht können Sie sich nicht erinnern,
was ich vor fünf Minuten gesagt habe,
											aber Sie werden sich erinnern, welches 
Gefühl ich bei Ihnen ausgelöst habe.
											Und Sie sind mehr als das,
woran Sie sich erinnern können.
									","
											Tüm bunlara rağmen yine de
bir gün Alzheimer'a yakalanırsanız,
											büyükannemden ve hastalıkla yaşayan
düzinelerce kişiden öğrendiğim
											üç ders var.
											Teşhis yarın öleceğiniz anlamına gelmez.
											Yaşamaya devam edin.
											Duygusal hafızanızı kaybetmeyeceksiniz.
											Hâlâ sevgi ve neşeyi anlayabileceksiniz.
											Beş dakika önce söylediklerimi
hatırlamayabilirsiniz,
											ama size ne hissettirdiğimi hatırlarsınız.

											Hatırlayabildiğinizden 
çok daha fazlasısınız.
									","
											Y si, a pesar de todo esto,
algún día les diagnostican con alzhéimer,
											hay tres lecciones que aprendí
de mi abuela
											y de docenas de personas que he conocido
que viven con la enfermedad.
											El diagnóstico no quiere decir
que morirán mañana.
											Continúa su vida.
											No perderán su memoria sentimental.
											Aún podrán sentir amor y felicidad.
											Tal vez no recuerden
lo que dije hace cinco minutos,
											pero recordarán cómo les hice sentir.
											Y somos más de lo que recordamos.
									",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
","
","
","
","
",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
											Thank you.
									","
											Merci.
									","
											Vielen Dank.
									","
											Teşekkürler.
									","
											Gracias.
									",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
","
","
","
","
",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
											(Applause)
									","
											(Applaudissements)
									","
											(Applaus)
									","
											(Alkışlar)
									","
											(Aplausos)
									",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
","
","
","
","
",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
