en,fr,pt,es,tr,de,title,speaker,duration,tags
"
											A health crisis makes people
do all sorts of risky things,
											like quitting a job
or jumping out of an airplane
											and, in the case of my sister,
											saying ""yes"" to several therapy sessions,
											during which we got down to the marrow.
											We looked at and released years of stories
											and assumptions about each other
											and blame and shame
											until all that was left was love.
									","
											Une crise de santé fait faire aux gens
toutes sortes de choses risquées
											comme démissionner de son travail
ou sauter d'un avion
											et, pour ma sœur,
											dire « oui » à plusieurs
sessions de thérapie
											durant lesquelles nous avons
creusé jusqu'à la moelle.
											Nous avons considéré
et divulgué des années d'histoires
											et de suppositions sur l'autre,
											de reproches et de honte
											jusqu'à ce qu'il ne reste que de l'amour.
									","
											Uma crise de saúde leva as pessoas
a fazer todo o tipo de coisas arriscadas,
											como largar um emprego
ou saltar de um avião
											e, no caso da minha irmã,
											dizer ""sim"" a várias sessões de terapia,
											durante as quais fomos até ao osso.
											Procurámos e libertámos anos de histórias
											e de preconceitos acerca uma da outra
											de culpas e de vergonha
											até que só sobrou o amor.
									","
											Una crisis de salud hace que la gente 
haga todo tipo de cosas arriesgadas,
											como dejar un trabajo o saltar de un avión
											y, en el caso de mi hermana,
											decir ""sí"" a varias sesiones de terapia,
											durante las cuales 
llegamos hasta la médula.
											Nos miramos y 
se liberan años de historias
											y suposiciones acerca de una y otra
											la culpa y la vergüenza
											hasta que todo lo que quedó fue amor.
									","
											Sağlık sorunları insanlara her türlü 
riskli şeyler yaptırır,
											istifa etmek veya uçaktan atlamak gibi.
											Kız kardeşimin durumunda,
											birçok terapi seansına ""Evet"" demesi,
											ki bunlardan birinde kemik iliği 
konusuna geldik.
											Sadece ortada sevgi kalana kadar
											yılların hikâyeleri,
											birbirimize karşı varsayımlarımız,
											suçlama ve utanç hakkında 
konuşup rahatladık.
									","
											Eine gesundheitliche Krise lässt Menschen
alle möglichen Risiken eingehen,
											sie kündigen ihren Job 
oder springen aus einem Flugzeug
											oder, wie meine Schwester,
											sie sagen ""Ja"" zu Therapiesitzungen,
											bei denen wir bis ins Mark vordrangen.
											Wir arbeiteten Jahre von Geschichten
											und Annahmen übereinander auf,
											Schuldzuweisungen und Schamgefühle,
											und ließen alles los, 
bis nur noch Liebe übrig war.
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											People have said I was brave
to undergo the bone marrow harvest,
											but I don't think so.
											What felt brave to me
											was that other kind
of harvest and transplant,
											the soul marrow transplant,
											getting emotionally naked
with another human being,
											putting aside pride and defensiveness,
											lifting the layers
											and sharing with each other
our vulnerable souls.
											I called on those midwife lessons:
											uncover your soul.
											Open to what's scary and painful.
											Look for the sacred awe.
									","
											Les gens ont dit que j'étais courageuse
de faire le prélèvement de moelle osseuse
											mais je ne le pense pas.
											Ce qui me semblait courageux
											c'était cet autre genre
de prélèvement et de greffe,
											la greffe de l'âme,
											se mettre à nue émotionnellement
avec un autre être humain,
											mettre de côté sa fierté
et son attitude défensive,
											soulever les couches
											et partager avec l'autre
notre âme vulnérable.
											J'ai utilisé ces leçons de sage-femme :
											découvrir son âme,
											ouvrir ce qui fait peur et est douloureux,
											chercher l'émerveillement sacré.
									","
											As pessoas diziam que eu era corajosa
por deixar colher a medula óssea,
											mas eu não concordo.
											Aquilo que me fez sentir corajosa
											foi o outro tipo de colheita
e de transplante,
											o transplante da medula da alma,
											despir-me emocionalmente
diante de outro ser humano,
											pôr de lado o orgulho
e o sentimento de defesa,
											eliminando as camadas
											e partilhando uma com a outra
as nossas almas vulneráveis.
											Invoquei as lições de parteira:
											destapar a alma,
											abrir-me ao que é assustador e doloroso,
											procurar o respeito sagrado.
									","
											La gente ha dicho que yo fui valiente por 
someterme a la extracción de médula ósea,
											pero yo no lo creo.
											Lo que me hizo sentir valiente
											fue otro tipo de cosecha y trasplante,
											el trasplante de médula para el alma,
											presentarme emocionalmente 
desnuda ante otro ser humano,
											dejando a un lado el orgullo 
y la actitud defensiva,
											allanando las capas
											y compartiendo con los demás 
nuestras almas vulnerables.
											Llamé en esas lecciones de partera:
											descubrir su alma.
											abrirse a lo aterrador y doloroso.
											Buscar el temor sagrado.
									","
											İnsanlar kemik iliği çıkarma hasatını
çektiğim için cesur olduğumu söylediler
											ama ben öyle düşünmüyorum.
											Bana cesur hissettiren şey
											başka tür hasat ve nakildi,
											ruh iliği nakli,
											başka bir insana duygusal
olarak açılarak,
											gururu ve savunmayı bir kenara koyarak,
											katmanları kaldırarak
											ve savunmasız ruhlarımızı
birbirimizle paylaşarak.
											O ebelik derslerini hatırladım:
											Ruhunu ortaya çıkar.
											Korkutucu ve acıtıcı olanı ara.
											Kutsal huşuyu ara.
									","
											Mir wurde gesagt, ich sei mutig,
mich der Knochenmarkspende zu unterziehen,
											aber ich finde das nicht.
											Mutig fand ich
											diese andere Art 
der Ernte und Transplantation,
											die Seelenmark-Transplantation,
											die emotionale Entblößung 
mit einem anderen Menschen,
											Stolz und Abwehrhaltung 
zur Seite zu schieben,
											die Schichten zu lüften
											und unsere verletzlichen Seelen
miteinander zu teilen.
											Ich griff auf jene
Hebammen-Lektionen zurück:
											Enthülle deine Seele.
											Öffne dich für das Beängstigende
und Schmerzhafte.
											Suche nach der heiligen Ehrfurcht.
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											Here I am with my marrow cells
after the harvest.
											That's they call it — ""harvest,""
											like it's some kind of bucolic
farm-to-table event —
									","
											Me voici, avec mes cellules
de moelle osseuse après le prélèvement.
											Ils l'appellent ainsi, « prélèvement »,
											comme si c'était un évènement
bucolique de cueillette —
									","
											Aqui estou eu com as minhas células
da medula depois da colheita.
											É assim que se chama: ""colheita"",
											como se fosse um acontecimento bucólico
da quinta para a mesa.
									","
											Aquí estoy con mis células de médula 
después de la cosecha.
											Eso es lo que llaman ""cosecha""
											como si fuera algún tipo de 
evento bucólico de la granja a la mesa.
									","
											Hasattan sonra kemik 
hücrelerim ile buradayım.
											Buna ""hasat"" derler.
											Sanki tarladan toplayıp
masaya koyuyorsun.
									","
											Das bin ich mit meinen 
Knochenmarkzellen nach der Ernte.
											So nennen sie es, ""Ernte"",
											als sei es ein idyllisches
Vom-Hof-auf-den-Tisch-Event,
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											(Laughter)
									","
											(Rires)
									","
											(Risos)
									","
											(Risas)
									","
											(Gülüşmeler)
									","
											(Lachen)
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											Which I can assure you it is not.
											And here is my brave, brave sister
											receiving my cells.
											After the transplant, we began to spend
more and more time together.
											It was as if we were little girls again.
											The past and the present merged.
											We entered deep time.
											I left the hamster wheel of work and life
											to join my sister
											on that lonely island
											of illness and healing.
											We spent months together —
											in the isolation unit,
											in the hospital and in her home.
									","
											Et je peux vous assurer
que ça ne l'est pas.
											Et voici ma sœur, très courageuse,
											recevant mes cellules.
											Après la greffe, nous avons passé
de plus en plus de temps ensemble.
											C'était comme si nous étions
de nouveau enfants.
											Le passé et le présent ont fusionné.
											Nous sommes entrées dans le temps profond.
											J'ai quitté la roue de hamster
que sont le travail et la vie
											et j'ai rejoint ma sœur
											sur cette île esseulée
											de la maladie et de la guérison.
											Nous avons passé des mois ensemble —
											dans l'unité d'isolement,
											à l'hôpital et chez elle.
									","
											Mas garanto que não é.
											Esta é a minha corajosa irmã
											a receber as minhas células.
											Depois do transplante, começámos
a passar juntas cada vez mais tempo.
											Era como se fôssemos de novo
pequeninas.
											O passado e o presente fundiram-se.
											Entrámos no tempo profundo.
											Abandonei a roda de hamster
do trabalho e da vida
											para me juntar à minha irmã
											naquela ilha solitária
											de doença e de cura.
											Passámos meses juntas
											na unidade de isolamento,
											no hospital e em casa dela.
									","
											Y puedo asegurar que eso no lo es.
											Y aquí está mi hermana valiente, valiente,
											recibiendo mis células.
											Después del trasplante, comenzamos 
a pasar más y más tiempo juntas.
											Era como si fuéramos niñas de nuevo.
											El pasado y el presente se fusionaron.
											Entramos en el tiempo profundo.
											Salí de la rueda del hámster 
del trabajo y de la vida
											para unirme a mi hermana
											en esa isla solitaria
											de la enfermedad y la curación.
											Pasamos meses juntas,
											en la unidad de aislamiento,
											en el hospital y en su casa.
									","
											Seni temin ederim ki öyle değil.
											İşte benim cesur kız kardeşim
											hücrelerimi alıyor.
											Nakilden sonra, birlikte daha çok
vakit geçirmeye başladık.
											Sanki yeniden küçük kızlar gibiydik.
											Geçmiş ve bugün birleşti.
											Derin zamana girdik.
											İş ve hayatımın tekdüzeliğini bırakıp
											bu hastalık ve şifa dolu
											ıssız adada
											kardeşime kavuştum.
											Birlikte aylar geçirdik,
											izolasyon ünitesinde,
											hastanede ve onun evinde.
									","
											was es, wie ich Ihnen 
versichern kann, nicht ist.
											Hier ist meine sehr tapfere Schwester
											beim Erhalt meiner Zellen.
											Nach der Transplantation verbrachten wir
immer mehr Zeit miteinander.
											Er war so, als wären wir 
wieder kleine Mädchen.
											Die Vergangenheit und 
die Gegenwart verschmolzen.
											Wir traten in die tiefe Zeit ein.
											Ich verließ das Hamsterrad 
aus Arbeit und Leben,
											um bei meiner Schwester
											auf der einsamen Insel
											von Krankheit und Heilung zu sein.
											Wir verbrachten Monate miteinander,
											auf der Isolierstation,
											im Krankenhaus und bei ihr zu Hause.
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											Our fast-paced society
											does not support or even value
this kind of work.
											We see it as a disruption
of real life and important work.
											We worry about the emotional drain
and the financial cost —
											and, yes, there is a financial cost.
											But I was paid
											in the kind of currency our culture
seems to have forgotten all about.
											I was paid in love.
											I was paid in soul.
											I was paid in my sister.
									","
											Notre société effrénée
											ne soutient pas et n'estime pas
de genre de travail.
											Nous le voyons comme une perturbation
de la vraie vie et du travail important.
											Nous nous inquiétons
											de l'épuisement émotionnel
et du coût financier —
											oui, il y a un coût financier.
											Mais j'étais payée
											dans le genre de monnaie
											dont notre culture
semble avoir oublié l'existence.
											J'étais payée en amour.
											J'étais payée en âme.
											J'étais payée en sœur.
									","
											A nossa sociedade, de ritmo acelerado,
											não apoia nem sequer valoriza
este tipo de trabalho.
											Considera-o uma perturbação
da vida real e do trabalho importante.
											Preocupamo-nos com o desgaste emocional
e o custo financeiro
											— claro, há um custo financeiro.
											Mas eu fui paga
											no tipo de moeda que a nossa cultura
parece ter esquecido totalmente.
											Fui paga com amor.
											Fu paga com alma.
											Fui paga com a minha irmã.
									","
											Nuestra sociedad de ritmo rápido
											no apoya ni siquiera el valor 
de este tipo de trabajo.
											Lo vemos como una alteración de la 
vida real y del trabajo importante.
											Nos preocupamos por el desgaste 
emocional y el costo financiero
											y, sí, hay un costo financiero.
											Pero me pagaron
											en el tipo de moneda que nuestra cultura 
parece haber olvidado por completo.
											Me pagaron con amor.
											Me pagaron con el alma.
											Me pagaron con mi hermana.
									","
											Hareketli toplumumuz,
											bu tür işleri desteklemiyor
ya da hatta değer vermiyor.
											Gerçek hayatta ve önemli işlerde 
bir aksaklık olarak görüyoruz.
											Duygusal güçsüzlük ve finansal gider
konusunda endişeleniyoruz.
											Evet, bunun finansal bir bedeli var.
											Ama kültürümüzün
											unutmuş gibi göründüğü 
bir çeşit para birimiyle ödendim.
											Sevgiyle ödendim.
											Ruhla ödendim.
											Kardeşimle ödendim.
									","
											Unsere schnelllebige Gesellschaft
											unterstützt oder wertschätzt
diese Art von Arbeit nicht.
											Wir sehen darin eine Unterbrechung 
des echten Lebens und wichtiger Arbeit.
											Wir fürchten die emotionale Belastung 
und die finanziellen Opfer,
											und, ja, es kostet Geld.
											Aber ich wurde
											in der Währung bezahlt, die unsere Kultur
ganz und gar vergessen zu haben scheint.
											Ich wurde mit Liebe bezahlt.
											Ich wurde mit Seele bezahlt.
											Ich wurde mit meiner Schwester bezahlt.
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											My sister said the year after transplant
was the best year of her life,
											which was surprising.
											She suffered so much.
											But she said life never tasted as sweet,
											and that because of the soul-baring
											and the truth-telling
we had done with each other,
											she became more unapologetically herself
											with everyone.
											She said things
she'd always needed to say.
											She did things she always wanted to do.
											The same happened for me.
											I became braver about being authentic
with the people in my life.
											I said my truths,
											but more important than that,
I sought the truth of others.
									","
											Ma sœur a dit que l'année après la greffe
était la meilleure année de sa vie,
											ce qui est surprenant.
											Elle a tellement souffert.
											Mais elle a dit que la vie
ne lui avait jamais semblé si douce
											grâce à la mise à nu de nos âmes
											et de la révélation de nos vérités
réalisées ensemble,
											elle est devenue résolument elle
											avec tout le monde.
											Elle a dit des choses
qu'elle avait toujours eu besoin de dire.
											Elle a fait des choses
qu'elle avait toujours voulu faire.
											La même chose m'est arrivée.
											J'ai eu plus le courage d'être authentique
avec les gens dans ma vie.
											J'ai dit mes vérités
											mais, surtout, j'ai cherché
les vérités chez les autres.
									","
											A minha irmã disse
que o ano após o transplante
											tinha sido o melhor ano da vida dela,
											o que foi surpreendente.
											Ela sofreu tanto.
											Mas disse que a vida
nunca lhe soubera melhor
											e que, por causa da libertação da alma
											e de contar a verdade
que tínhamos feito uma com a outra,
											se tinha tornado mais nela mesma,
menos intransigente com toda a gente.
											Dissera coisas que sempre
tinha tido necessidade de dizer.
											Fizera coisas que sempre
tinha querido fazer.
											O mesmo aconteceu comigo.
											Fiquei mais corajosa em ser autêntica
com as pessoas da minha vida.
											Disse as minhas verdades
											mas, mais importante que isso,
procurei a verdade dos outros.
									","
											Mi hermana dijo que el año tras
el trasplante fue el mejor año de su vida,
											lo que resulta sorprendente.
											Ella sufrió muchísimo.
											Pero dijo que la vida nunca 
supo tan dulce,
											y era por haber expuesto nuestras almas
											y por revelar la verdad 
que habíamos hecho ambas.
											Se volvió menos pesarosa
											con todos.
											Dijo cosas que siempre 
había necesitado decir.
											Hizo cosas que siempre quiso hacer.
											Lo mismo me ocurrió a mí.
											Me hice más valiente al ser auténtica 
con las personas en mi vida.
											Dije mis verdades,
											pero más importante que eso, 
busqué la verdad de los demás.
									","
											Kardeşim nakilden sonraki yılının 
hayatının en güzel yılı olduğunu söyledi,
											ki bu şaşırtıcıydı.
											O kadar çok acı çekti ki.
											Ama hayatın daha önce hiç bu kadar 
tatlı olmadığını söyledi.
											Bu birbirimize ruhumuzu açmamız
											ve doğruları söylememiz sayesinde
											başkalarına karşı daha çok pişmanlık
											duymayan biri hâline geldi.
											Her zaman söylemesi gereken 
şeyleri söyledi.
											Her zaman yapmak istediği
şeyleri yaptı.
											Aynı şey benim için de oldu.
											Hayatımdaki insanlar ile gerçekçi olmak
konusunda cesur hâle geldim.
											Kendi doğrularımı söyledim,
											ama bundan daha önemlisi,
başkalarının doğrusunu aradım.
									","
											Das Jahr nach der Transplantation
sei ihr bestes gewesen, sagte sie,
											was überraschend war.
											Sie musste so leiden.
											Und doch sagte sie, 
das Leben habe nie süßer geschmeckt,
											und die seelische Entblößung
											und die Aufrichtigkeit, 
die wir uns geschenkt hatten,
											habe sie in ihrer Beziehung
zu allen anderen kompromissloser
											sie selbst werden lassen.
											Sie sagte Dinge, die sie 
schon längst hätte sagen sollen.
											Sie tat Dinge, die sie
schon immer hatte tun wollen.
											Bei mir war es genauso.
											Ich wurde mutiger darin, authentisch
mit den Menschen in meinem Leben zu sein.
											Ich sprach meine Wahrheiten aus,
											aber was noch wichtiger war,
ich suchte die Wahrheit der anderen.
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											It wasn't until
the final chapter of this story
											that I realized just how well
midwifery had trained me.
											After that best year of my sister's life,
											the cancer came roaring back,
											and this time there was nothing more
the doctors could do.
											They gave her just
a couple of months to live.
									","
											C'est lors du dernier chapitre
de cette histoire
											que j'ai réalisé à quel point
être sage-femme m'avait entraînée.
											Après la meilleure année
de la vie de ma sœur,
											le cancer est revenu
											et, cette fois-ci, les médecins
ne pouvaient plus rien faire.
											Ils ne lui donnaient
que quelques mois à vivre.
									","
											Foi só no capítulo final da minha história
											que percebi como o trabalho de parteira
me tinha formado tão bem.
											Depois daquele melhor ano
da vida da minha irmã,
											o cancro voltou a atacar
											e, dessa vez, os médicos
não puderam fazer mais nada.
											Deram-lhe só alguns meses de vida.
									","
											No fue hasta 
el capítulo final de esta historia
											que me di cuenta de lo bien que 
la obstetricia me había entrenado.
											Después del mejor año 
de la vida de mi hermana,
											el cáncer volvió con fuerza,
											y esta vez no había nada más 
que los médicos pudieran hacer.
											Le dieron solo un par de meses de vida.
									","
											Ebeliğin beni ne kadar iyi eğittiğini
											bu hikâyenin son bölümüne gelince anladım.
											Kız kardeşimin hayatının en iyi
yılından sonra,
											kanser kükleyerek geri geldi.
											Bu sefer doktorların yapabileceği
başka bir şey yoktu.
											Ona yaşaması için sadece 
birkaç ay verdiler.
									","
											Erst im letzten Kapitel dieser Geschichte
											wurde mir klar, was für eine gute Schule
die Geburtshilfe gewesen war.
											Nach diesem besten Jahr 
im Leben meiner Schwester
											kehrte der Krebs mit Macht zurück,
											und diesmal konnten
die Ärzte nichts mehr tun.
											Sie gaben ihr nur noch 
ein paar Monate zu leben.
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											The night before my sister died,
											I sat by her bedside.
											She was so small and thin.
											I could see the blood pulsing in her neck.
											It was my blood, her blood, our blood.
											When she died, part of me would die, too.
									","
											La nuit précédent la mort de ma sœur,
											je suis restée à son chevet.
											Elle était si petite et maigre,
											je pouvais voir le sang
battre dans son cou.
											C'était mon sang, son sang, notre sang.
											Quand elle est morte,
une partie de moi est morte également.
									","
											Na noite anterior à morte da minha irmã,
											sentei-me à sua cabeceira.
											Ela estava minúscula e muito magra.
											Eu via o sangue a pulsar no pescoço dela.
											Era o meu sangue,
o sangue dela, o nosso sangue.
											Quando ela morreu,
também morreu uma parte de mim.
									","
											La noche antes de la muerte de mi hermana,
											me senté junto a su cama.
											Estaba muy pequeña y delgada.
											Pude ver el pulso de 
la sangre en su cuello.
											Era mi sangre, su sangre, nuestra sangre.
											Cuando ella murió, 
parte de mí moría, también.
									","
											Kız kardeşim ölmeden bir gece önce,
											yatağının kenarına oturdum.
											Çok küçük ve zayıftı.
											Boynundaki kan atışını
görebiliyordum.
											Benim kanımdı, onun kanıydı,
bizim kanımızdı.
											Öldüğünde, bir parçam da ölecekti.
									","
											In der Nacht bevor meine Schwester starb,
											saß ich an ihrem Bett.
											Sie war so klein und dünn.
											Ich konnte das Blut 
an ihrem Hals pulsieren sehen.
											Es war mein Blut, ihr Blut, unser Blut.
											Wenn sie starb, würde ein Teil
von mir ebenfalls sterben.
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											I tried to make sense of it all,
											how becoming one with each other
											had made us more ourselves,
											our soul selves,
											and how by facing and opening
to the pain of our past,
											we'd finally been delivered to each other,
											and how by stepping out of time,
											we would now be connected forever.
									","
											J'ai essayé d'y trouver un sens,
											devenir une l'une avec l'autre
											nous avait rendues nous-mêmes,
											plus proches de nos âmes ;
											faire face et nous ouvrir
sur les douleurs de notre passé
											nous avait délivrées de l'autre ;
											sortir du temps
											nous avait liées pour toujours.
									","
											Tentei fazer sentido de tudo aquilo,
											como, ao termo-nos tornado numa só
											nos tínhamos tornado mais nós mesmas,
											as nossas mesmas almas,
											e como, ao enfrentar e ao abrirmo-nos
ao sofrimento do nosso passado,
											tínhamos acabado por ajudar
ao nascimento uma da outra
											e como, ao sairmos do tempo,
											podíamos agora estar
interligadas para sempre.
									","
											Traté de encontrar sentido en todo,
											cómo el fundirnos una en la otra
											nos había hecho más nosotras mismas,
											nuestras almas,
											y cómo el afrontar y abrirnos 
al dolor de nuestro pasado,
											finalmente nos había entregado 
recíprocamente
											y cómo por pisar fuera de tiempo,
											ahora estábamos conectados para siempre.
									","
											Bunların hepsini anlamlandırmaya çalıştım.
											Birbirimiz ile bir hâline gelmemiz,
											bizi daha fazla kendimiz yaptı,
											ruh benliğimiz.
											Geçmişimizin acılarıyla yüzleşerek
											sonunda birbirimize teslim olduk,
											zamanın dışına çıkarak,
											sonsuza kadar birbirimiz ile
bağlı olacağız.
									","
											Ich versuchte, den Sinn
hinter all dem zu verstehen,
											wie wir durch unsere Vereinigung
											mehr zu uns selbst geworden waren,
											zu unserem Seelenselbst.
											Wie wir den Schmerz unserer Vergangenheit
annahmen und uns öffneten,
											und dadurch endlich 
zueinander geführt wurden,
											und wie wir durch 
das Heraustreten aus der Zeit
											nun für immer verbunden bleiben würden.
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											My sister left me with so many things,
											and I'm going to leave you now
with just one of them.
											You don't have to wait
for a life-or-death situation
											to clean up the relationships
that matter to you,
											to offer the marrow of your soul
											and to seek it in another.
											We can all do this.
											We can be like a new kind
of first responder,
											like the one to take
the first courageous step
											toward the other,
											and to do something or try to do something
											other than rejection or attack.
											We can do this with our siblings
											and our mates
											and our friends and our colleagues.
											We can do this with the disconnection
											and the discord all around us.
											We can do this for the soul of the world.
									","
											Ma sœur m'a laissée tant de choses
											et je vais vous en laisser une seule.
											Vous n'avez pas besoin d'attendre
une situation de vie ou de mort
											pour nettoyer les relations
qui comptent à vos yeux,
											pour offrir votre âme
											et la chercher chez les autres.
											Nous pouvons tous le faire.
											Nous pouvons être un nouveau genre
de premiers intervenants,
											comme celui qui fait
le premier pas courageux vers l'autre
											et fait quelque chose,
ou essaye de faire quelque chose,
											qui n'est ni du rejet ni de l'attaque.
											Nous pouvons tous le faire
avec nos frères et sœurs,
											nos partenaires,
											nos amis et nos collègues.
											Nous pouvons le faire
malgré la déconnexion
											et le chaos qui nous entourent.
											Nous pouvons le faire pour l'âme du monde.
									","
											A minha irmã deixou-me muitas coisas
											e eu agora vou deixar-vos
apenas uma delas.
											Não precisam de esperar
por uma situação de vida ou morte
											para limpar as relações
que vos são importantes,
											para oferecer a medula da vossa alma
											e procurá-la noutra pessoa.
											Todos podemos fazer isso.
											Podemos ser como um novo tipo
de socorristas,
											como aquele que dá
o primeiro passo corajoso
											na direção do outro
											e fazer qualquer coisa,
tentar fazer qualquer coisa
											em vez de rejeição ou ataque.
											Podemos fazer isto com os nossos irmãos,
											com os nossos parceiros,
											com os nossos amigos e colegas.
											Podemos fazer isto com os desfasamentos
											e a discórdia à nossa volta.
											Podemos fazer isto para a alma do mundo.
									","
											Mi hermana me dejó muchas cosas,
											y les dejaré ahora con solo una de ellas.
											Uds. no tienen que esperar 
a una situación de vida o muerte
											para limpiar las relaciones 
importantes para Uds.,
											para ofrecer la médula de su alma
											y buscar en otra.
											Todos podemos hacer esto.
											Podemos ser como una nueva clase 
de primer nivel de respuesta,
											como la de dar el primer paso valiente
											hacia el otro,
											y hacer algo o tratar de hacer algo
											que no sea el rechazo o ataque.
											Podemos hacer esto con nuestros hermanos
											y nuestros compañeros
											y nuestros amigos y nuestros colegas.
											Podemos hacer esto con la desconexión
											y la discordia a nuestro alrededor.
											Podemos hacer esto por el alma del mundo.
									","
											Kız kardeşim bana çok şey bıraktı.
											Ben de size onlardan birini 
bırakarak ayrılacağım.
											İlişkilerinizi düzeltmek için,
											ruhunuzun özünü sunmak için
											ve bunu başka birinde aramak için
											ölüm-kalım anını beklemek
zorunda değilsiniz.
											Bunların hepsini yapabiliriz.
											İlk cevap veren yeni bir tür olabiliriz.
											Diğerine doğru ilk cesur adımı atan
											biri gibi
											ve reddetme ve saldırı yerine
											bir şey yapan veya yapmaya çalışan biri.
											Bunu kardeşlerimizle
											ve dostlarımızla
											ve arkadaşlarımızla ve 
meslektaşlarımızla yapabiliriz.
											Bunu çevremizdeki kopukluk
											ve çelişkilerle yapabiliriz.
											Bunu dünyanın ruhu için yapabiliriz.
									","
											Meine Schwester hat mir 
so vieles hinterlassen,
											und ich möchte Ihnen nun 
eins davon noch mitgeben.
											Sie müssen nicht warten,
bis es um Leben und Tod geht,
											um in den Beziehungen aufzuräumen,
die Ihnen wichtig sind,
											um das Mark Ihrer Seele darzubieten
											und es beim anderen zu suchen.
											Wir alle können dies tun.
											Wir können eine neue Art 
von Notfallhelfer sein,
											derjenige, der den ersten, mutigen Schritt
											auf den anderen zu unternimmt
											und etwas anderes tut 
oder versucht zu tun,
											als abzulehnen oder anzugreifen.
											Wir können dies 
mit unseren Geschwistern tun,
											und unseren Partnern
											und unseren Freunden und unseren Kollegen.
											Wir können dies 
mit all der Unverbundenheit
											und Zwietracht um uns herum tun.
											Wir können dies 
für die Seele der Welt tun.
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											Thank you.
									","
											Merci.
									","
											Obrigada.
									","
											Gracias.
									","
											Teşekkürler.
									","
											Vielen Dank.
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											(Applause)
									","
											(Applaudissements)
									","
											(Aplausos)
									","
											(Aplausos)
									","
											(Alkış)
									","
											(Applaus)
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
