pt,en,de,fr,tr,title,speaker,duration,tags
"
											O que podemos fazer?
											Em 2014, o Fórum Político Afro-Americano
começou a pedir
											que ""digamos o nome dela""
											nos comícios, nas manifestações,
											nas conferências, nas reuniões,
											em qualquer local, por toda a parte,
											onde a violência estatal contra os negros
esteja a ser debatida.
											Mas dizer o nome dela não chega.
											Temos que estar dispostos a fazer mais.
											Temos que estar dispostos
a dar testemunho,
											a dar testemunho das realidades
muitas vezes dolorosas
											que o mundo prefere não enfrentar,
											a violência e da humilhação diária
											que muitas mulheres negras
tiveram que enfrentar,
											mulheres negras, de qualquer cor,
											de qualquer idade, orientação sexual,
											qualquer sexualidade e capacidade.
									","
											So what can we do?
											In 2014, the African-American
Policy Forum began to demand
											that we ""say her name""
											at rallies, at protests,
											at conferences, at meetings,
											anywhere and everywhere
											that state violence against black bodies
is being discussed.
											But saying her name is not enough.
											We have to be willing to do more.
											We have to be willing to bear witness,
											to bear witness
to the often painful realities
											that we would just rather not confront,
											the everyday violence and humiliation
that many black women have had to face,
											black women across color,
											age, gender expression,
											sexuality and ability.
									","
											Was können wir also tun?
											Seit 2014 fordert
das African-American Policy Forum,
											dass wir ""ihren Namen sagen"",
											bei Kundgebungen, Protesten,
											bei Konferenzen und in Meetings —
											überall da,
											wo staatliche Gewalt
gegen Schwarze thematisiert wird.
											Aber das reicht noch nicht.
											Wir müssen bereit sein, mehr zu tun.
											Wir müssen bereit sein, Zeuge zu werden;
											Zeuge der oftmals schmerzvollen Realität,
											vor der wir lieber die Augen
verschließen würden;
											Zeugen der alltäglichen
Demütigungen und der Gewalt,
											der viele schwarze Frauen
ausgesetzt gewesen sind,
											unabhängig von Hautfarbe,
											Alter, geschlechtlichem Ausdruck,
											Sexualität und Behinderungsgrad.
									","
											Que pouvons-nous faire ?
											En 2014, le African American Policy Forum
a commencé à demander
											que nous « disions son nom »
											lors de rassemblements, de manifestations,
											de conférences, de réunions,
											en tout lieu
											où la violence gouvernementale
contre les noirs est débattue.
											Mais dire son nom n'est pas assez.
											Nous devons vouloir faire plus.
											Nous devons accepter de témoigner,
											de témoigner des réalités
souvent douloureuses
											que le monde préfère ne pas affronter,
											la violence quotidienne, l'humiliation
											auxquelles ont fait face
nombre de femmes noires,
											des femmes noires de toute couleur,
											de tout âge, de toute expression sexuelle,
											de toute sexualité et de toute capacité.
									","
											Peki ne yapabiliriz?
											2014 yılında Afrikalı Amerikalı
Politika Forumu
											mitinglerde, eylemlerde
											konferanslarda, toplantılarda
											siyahilere karşı şiddetin tartışıldığı
her yerde
											''Adını Söylüyoruz'' uygulaması 
talebinde bulunmaya başladı.
											Fakat adını söylemek yeterli değil.
											Daha fazlası için istekli olmalıyız.
											Tanıklık etmek için,
											rengi, yaşı, cinsel ifadesi,
cinselliği ve yeterliliği yüzünden
											her gün aşağılanmaya maruz kalan
											birçok siyahi kadının
karşı karşıya kaldığı
											ve yüzleşmemeyi tercih ettiğimiz 
acı gerçeklere
											tanıklık etmek için istekli olmalıyız.
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											Temos neste momento a oportunidade
											— tendo em conta que algumas imagens
que vos vou mostrar
											podem ser motivadoras para alguns —
											para testemunhar coletivamente
parte desta violência.
											Vamos ouvir a voz
da fenomenal Abby Dobson.
											Enquanto nos sentamos
ao lado destas mulheres,
											algumas das quais sofreram violência
e algumas que não lhe sobreviveram,
											temos a oportunidade
											de inverter o que aconteceu
no início desta palestra,
											quando não pudemos manter-nos de pé
para estas mulheres
											porque não conhecíamos os nomes delas.
									","
											So we have the opportunity right now —
											bearing in mind that some of the images
that I'm about to share with you
											may be triggering for some —
											to collectively bear witness
to some of this violence.
											We're going to hear the voice
of the phenomenal Abby Dobson.
											And as we sit with these women,
											some who have experienced violence
and some who have not survived them,
											we have an opportunity
											to reverse what happened
at the beginning of this talk,
											when we could not stand for these women
											because we did not know their names.
									","
											Wir haben also nun die Gelegenheit —
											und bedenken Sie, dass einige der Bilder,
											die ich Ihnen gleich zeige,
verstörend sein könnten —
											gemeinsam Zeuge dieser Gewalt zu werden.
											Die Stimme der atemberaubenden
Abby Dobson wird uns begleiten.
											Und während wir mit diesen Frauen sitzen,
											von denen einige Gewalt erlebt
und andere sie nicht überlebt haben,
											haben wir die Gelegenheit,
											den Anfang dieses Vortrags umzukehren,
											als wir nicht für diese Frauen
stehen konnten,
											weil wir ihre Namen nicht kannten.
									","
											Nous avons maintenant l'opportunité —
											en gardant à l'esprit certaines images
que je vais partager avec vous
											sont des facteurs de déclenchement —
											de témoigner collectivement
d'une partie de cette violence.
											Vous allez entendre la voix
de la phénoménale Abby Dobson.
											En discutant avec ces femmes,
											certaines ont fait face à la violence
et certaines n'y ont pas survécu,
											nous avons l'opportunité
											de renverser ce qu'il s'est passé
au début de cette conférence,
											où nous ne pouvions pas
défendre ces femmes
											car nous ne connaissions
même pas leurs noms.
									","
											Bu şiddete toplu tanıklık etmemiz için
											sizinle paylaşacağım görseller
											bazılarınız için bir şeylerin 
başlangıcı olabilir.
											Muhteşem Abby Dobson'ın sesini duyacağız.
											Bazıları bu şiddete maruz kalmış,
											bazıları hayata tutunamamış
											isimlerini bilmediğimiz için
ayağa kalkamadığımız kadınlar için
											konuşmanın başında yaşananları
											bir aradayken tersine çevirme 
şansımız var.
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											Portanto, no fim deste vídeo,
haverá uma chamada.
											Aparecerão vários nomes
de mulheres negras.
											Gostaria que todos os que puderem
se juntem a nós e digam esses nomes
											o mais alto que puderem,
											ao acaso, sem qualquer ordem.
											Vamos criar uma cacofonia de sons
											para representar a nossa intenção
											de apoiar essas mulheres,
											de nos sentarmos com elas,
											de sermos suas testemunhas,
											de as trazer para a luz do dia.
									","
											So at the end of this clip,
there's going to be a roll call.
											Several black women's names will come up.
											I'd like those of you who are able
to join us in saying these names
											as loud as you can,
											randomly, disorderly.
											Let's create a cacophony of sound
											to represent our intention
											to hold these women up,
											to sit with them,
											to bear witness to them,
											to bring them into the light.
									","
											Daher wird es am Ende dieses Videos
einen Namensaufruf geben.
											Die Namen mehrerer
schwarzer Frauen werden erscheinen.
											Diejenigen, die können, bitte ich,
gemeinsam diese Namen zu rufen,
											und zwar, so laut Sie können —
											durcheinander, ungeordnet.
											Lassen Sie uns eine Kakophonie
von Klängen erzeugen,
											um auszudrücken,
											dass wir diese Frauen emporheben wollen,
											mit ihnen sitzen wollen,
											ihre Zeugen werden wollen,
											sie ins Licht tragen wollen.
									","
											À la fin de cette vidéo,
il y aura une liste d'appel.
											Le nom de plusieurs
femmes noires sera prononcé.
											J'aimerais que ceux qui en sont capables
se joignent à nous pour prononcer ces noms
											aussi fort que possible,
											dans n'importe quel ordre.
											Créons une cacophonie
											pour représenter notre intention
											de soutenir ces femmes,
											de discuter avec elles,
											d'être leurs témoins,
											de faire la lumière sur elles.
									","
											Bu klibin sonunda bir yoklama alacağız.
											Birçok siyahi kadının ismi yazacak.
											Yapabilecek olanların
çok güçlü bir şekilde
											bu isimleri söylemesini istiyorum.
											Karışık, sırasız olarak.
											Hadi bu kadınları anmak için,
											niyetimizi belli etmek için,
											yanlarında olduğumuzu 
ve bunu göstermek için,
											onlara tanıklık etmek için,
											onları gün ışığına çıkarmak 
için bir karışıklık yaratalım.
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											Abby Dobson:
											♪ Digam,
											♪ digam o nome dela.
									","
											(Singing) Abby Dobson: Say,
											say her name.
									","
											(singend) Abby Dobson: Sag,
											sag ihren Namen.
									","
											(Chantant) Abby Dobson : Dites,
											dites son nom.
									","
											(Şarkı) Abby Dobson: 
Adını söyle.
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											♪ Digam,
											[Para quebrar o silêncio
da violência estatal
											[contra mulheres negras
temos que dizer ""o nome delas""]
											♪ digam o nome dela.
									","
											Say,
											say her name.
									","
											Sag,
											[Kein Schweigen mehr
bei Gewalt gegen schwarze Frauen;]
											[wir müssen ihren Namen sagen.]
									","
											Dites,
											dites son nom.
									","
											Adını söyle.
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											Audiência: Shelly!
									","
											(Audience) Shelly!
									","
											(Publikum) Shelly!
									","
											(Public) Shelly !
									","
											(Seyirciler) Shelly!
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											Kayla!
									","
											(Audience) Kayla!
									","
											(Publikum) Kayla!
									","
											(Public) Kayla !
									","
											(Seyirciler) Kayla!
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											AD: ♪ Oh,
											♪ digam o nome dela.
									","
											AD: Oh,
											say her name.
									","
											AD: Sag ihren Namen.
									","
											AD : Oh,
											dites son nom.
									","
											Abby Dobson: 
Adını söyle.
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											(Vários nomes)
									","
											(Audience shouting names)
									","
											(Publikum ruft Namen)
									","
											(Public criant des noms)
									","
											(Seyirciler isimleri söylüyor)
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											♪ Digam, digam,
											(Vários nomes)
											♪ digam o nome dela.
									","
											Say, say,
											say her name.
									","
											AD: Sag, sag,
											sag ihren Namen.
									","
											Dites, dites,
											dites son nom.
									","
											Söyle, söyle
											adını söyle.
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											♪ Digam o nome dela.
									","
											Say her name.
									","
											Sag ihren Namen.
									","
											Dites son nom.
									","
											Adını söyle.
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											♪ Por todos os nomes
											♪ que nunca saberei,
									","
											For all the names
											I'll never know,
									","
											Für alle Namen, die ich nie kennen werde;
											[Bitte steht für diese Frauen]
											[und sagt ihre Namen
im Namen aller Frauen,]
											[die staatlich geduldete Gewalt
erlitten haben.]
									","
											Pour tous les noms
											que je ne connaîtrai jamais,
									","
											Asla duymayacağın
											isimler için
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											♪ digam o nome dela.
									","
											say her name.
									","
											AD: Sag ihren Namen.
									","
											dites son nom.
									","
											adını söyle.
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											KC: Aiyanna Stanley Jones,
Janisha Fonville,
											Kathryn Johnston, Kayla Moore,
											Michelle Cusseaux, Rekia Boyd,
											Shelly Frey, Tarika, Yvette Smith.
									","
											KC: Aiyanna Stanley Jones,
Janisha Fonville,
											Kathryn Johnston, Kayla Moore,
											Michelle Cusseaux, Rekia Boyd,
											Shelly Frey, Tarika, Yvette Smith.
									","
											Kimberlé Crenshaw: Aiyanna Stanley Jones,
											Janisha Fonville, Kathryn Johnston,
Kayla Moore,
											Michelle Cusseaux, Rekia Boyd,
											Shelly Frey, Tarika, Yvette Smith.
									","
											KC : Aiyanna Stanley Jones,
											Kathryn Johnston, Kayla Moore,
											Michelle Cusseaux, Rekia Boyd,
											Shelly Frey, Tarika, Yvette Smith.
									","
											KC: Aiyanna Stanley Jones, 
Janisha Fonville,
											Kathryn Johnston, Kayla Moore
											Michelle Cusseaux, Rekia Boyd,
											Shelly Frey, Tarika, Yvette Smith.
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											AD: ♪ Digam o nome dela.
									","
											AD: Say her name.
									","
											AD: Sag ihren Namen.
									","
											AD : Dites son nom.
									","
											AD: Adını söyle.
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											KC: Eu disse, no início,
											que, se não podemos ver um problema,
											não podemos solucionar esse problema.
											Juntos, conseguimos dar testemunho
											às vidas perdidas destas mulheres.
											Mas agora chegou a altura
											de passarmos do choro e do desgosto
											para a ação e a transformação.
											É uma coisa que podemos fazer.
											Cabe-nos a nós.
									","
											KC: So I said at the beginning,
											if we can't see a problem,
											we can't fix a problem.
											Together, we've come together
to bear witness
											to these women's lost lives.
											But the time now is to move
											from mourning and grief
											to action and transformation.
											This is something that we can do.
											It's up to us.
									","
											KC: Wie ich am Anfang bereits sagte:
											Wenn wir ein Problem nicht sehen können,
											können wir es nicht lösen.
											Wir sind zusammengekommen,
um Zeuge der Leben zu werden,
											die diese Frauen verloren haben.
											Aber nun ist die Zeit gekommen,
											von Trauer und Schmerz
											zu Tat und Veränderung überzugehen.
											Das können wir tun.
											Es liegt in unserer Hand.
									","
											KC : Je l'ai dit au début,
											si nous ne pouvons pas
voir un problème,
											nous ne pouvons pas le résoudre.
											Ensemble, nous nous sommes réunis
pour témoigner
											de la vie que ces femmes ont perdue.
											Mais il est maintenant temps de passer
											du deuil et du chagrin
											à l'action et la transformation.
											Nous pouvons le faire.
											Cela ne dépend que de nous.
									","
											KC: Başta söylediğim gibi
											bir problemi göremiyorsak
											o problemi çözemeyiz.
											Bu kadınların kayıp yaşamlarına
											tanıklık etmek için bir araya geldik.
											Fakat artık matem ve kederden
											eylem ve değişime geçme zamanıdır.
											Bu bizim yapabileceğimiz bir şey.
											Her şey bize bağlı.
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											Obrigada por se juntarem a nós.
											Obrigada.
									","
											Thank you for joining us.
											Thank you.
									","
											Vielen Dank für Ihr Mitwirken.
											Danke.
									","
											Merci de vous être joints à nous.
											Merci.
									","
											Bize katıldığınız için teşekkür ediyorum.
											Teşekkürler.
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											(Aplausos)
									","
											(Applause)
									","
											(Beifall)
									","
											(Applaudissements)
									","
											(Alkışlar)
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
