fr,pt,tr,de,es,title,speaker,duration,tags
"
											Donc nous ne sommes pas seulement en train de simuler une dynamique biologique — chaîne alimentaire ou autre —
											mais aussi une dynamique géologique, à une échelle très simple.
											Et ce qui me paraît intéressant dans les jeux, dans un sens,
											c'est que je pense que nous pouvons prendre en compte un grand nombre de paramètres sur le long terme
											et les compresser afin de faire des expériences à court-terme.
											Il est si difficile de penser sur 50 ou 100 ans,
											mais quand on vous donne un jouet et qu'on peut tester ces paramètres de long-terme
											en quelques minutes,
											je pense que c'est un point de vue entièrement différent, dans lequel on peut façonner
											en utilisant le jeu pour corriger nos intuitions.
											C'est presque comme un télescope ou un microscope
											qui re-calibre votre vision ; Je pense que les simulations informatiques peuvent re-calibrer votre instinct.
											au travers de larges échelles d'espace et de temps.
									","
											Estamos a simular a dinâmica biológica
— cadeias alimentares, etc. —
											e também a dinâmica geológica,
a uma escala muito simplificada.
											Para mim, o interessante nos jogos
											é que podemos pegar
em muitas dinâmicas de longo-prazo
											e comprimi-las 
em experiências de curto-prazo.
											Porque é muito difícil as pessoas 
pensarem 50 ou 100 anos à frente.
											mas se tiverem um brinquedo
que permite viver estas dinâmicas
											de longo-prazo em minutos,
											têm um ponto de vista
totalmente diferente,
											estão a usar o jogo
para realinhar a sua intuição.
											Isto é parecido como um telescópio
ou um microscópio recalibram a visão.
											As simulações computacionais
podem recalibrar o nosso instinto
											através de escalas espaciais
e temporais muito vastas.
									","
											Kısacası, sadece biyolojik dinamikleri — besin ağları vesaire — değil,
											aynı zamanda jeolojik dinamikleri de çok basit, temel ölçekte taklit ediyoruz.
											Oyunlarda bana ilginç gelen taraf şu ki,
											uzun vadeli bir sürü dinamiği alıp
											çok kısa vadeli deneyimlere sıkıştırabiliyoruz.
											İnsanlar için 50 - 100 yıl sonrasını düşünmek zordur,
											fakat ellerine oyuncak verdiğinizde bu uzun vadeli dinamikleri
											birkaç dakika içinde deneyleyebilirler.
											Bence bu -eşleme yaptığımız yer, tamamıyla farklı bir bakış açısı;
											sezgilerimizi yeniden eşlemek için oyunu kullanmak...
											Bu tıpkı bir teleskobun ya da mikroskobun görüş gücünüzü
											yeniden ayarlamasına benziyor; bence bilgisayar simülasyonları sezgilerinizi
											çok büyük uzay ve zaman ölçeklerinde yeniden ayarlayabilir.
									","
											Wir simulieren nicht nur biologische Kräfte - Nahrungsnetzwerke etc. -
											sondern auch geologische, auf einem vereinfachten Niveau.
											Was mich an Spielen interessiert,
											ist, dass man langfristige Kräfteentwicklungen
											in ein kurzfristiges Spielerlebnis komprimieren kann.
											Es ist so schwierig, 50 oder 100 Jahre vorauszudenken,
											aber mithilfe eines Spielzeugs können diese langfristigen Entwicklungen erlebt werden,
											innerhalb weniger Minuten.
											Das ist eine veränderte Sichtweise, bei der wir abgleichen,
											wir nutzen das Spiel dazu, unsere Intuition neu einzustellen.
											Ähnlich einem Teleskop oder Mikroskop,
											das die Sehstärke neu einstellt. Computersimulationen können Intuition neu kalibrieren,
											über Zeit und Raum hinweg.
									","
											No sólo simulamos las dinámicas biológicas — redes alimentarias y demás —
											sino también geológicas, en una escala muy simple.
											Y lo que me interesa de los juegos, en cierta forma,
											es que creo que podemos tomar dinámicas de largo término
											y comprimirlas en experiencias de corto término.
											Porque es difícil para la gente pensar en 50 o 100 años,
											pero cuando les dan un juguete, y pueden experimentar estas dinámicas
											en unos minutos,
											creo que es un punto de vista completamente diferente, el que desplegamos,
											usando el juego para re-mapear nuestra intuición.
											Casi de la misma manera en que un telescopio o un microscopio
											recalibra la vista; creo que las simulaciones de computadora recalibran el instinto
											a lo largo de vastas escalas de espacio y tiempo.
									","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
","
","
","
","
","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
											Ici apparaît notre petit système solaire lorsque l'on s'écarte de notre planète fondue.
											Nous avons en fait quelques autres planètes dans ce système solaire.
											Dirigions nous vers une autre de ces planètes.
											Donc en fait nous allons avoir un nombre illimité d'autres mondes
											que vous pouvez explorer. Maintenant, pendant que l'on se déplace dans le futur,
											et que nous commençons à sortir dans l'espace et pouvoir faire plein de choses,
											nous nous sommes beaucoup inspiré de la science fiction.
											Et de tous mes films de science fiction favoris.
											Je veux pouvoir joueur ici sur différents aspects.
											Cette planète est habitée.
											Et voilà ici, une sorte de peuplade indigène.
											Ici l'un des outils que je peux avoir dans mon vaisseau est un monolithe
											que je peux laisser tomber.
									","
											Vemos o sistema solar, enquanto
nos afastamos do planeta derretido.
											Por acaso, temos outros planetas
neste sistema solar.
											Vamos voar para outro então.
											Vamos ter um número ilimitado de mundos
que podemos explorar.
											À medida que nos dirigimos para o futuro,
											e começamos a explorar o espaço,
											inspirámo-nos muito na ficção científica.
											Peguei nos meus filmes
de ficção científica preferidos
											e transpu-los para aqui,
sob a forma de cenários dinâmicos.
											Este planeta tem vida.
											Aqui está, vida indígena cá em baixo.
											Uma das ferramentas que posso ter
no meu OVNI é um monólito
											que posso deixar cair no planeta.
									","
											Evet, erimiş gezegenimizden uzaklaşırken, küçük güneş sistemimizi görüyoruz.
											Ortaya çıkıyor ki, bu güneş sisteminde birkaç gezegen daha var.
											Gelin bir tanesine uçalım.
											Diyeceğim o ki, burada keşfedebileceğimiz sınırsız sayıda
											dünya olacak. Şimdi, geleceğe doğru ilerlerken
											ve bu uzayda dolaşıp nesneler yaparken,
											bilim-kurgu gibi şeylerden fazlasıyla yararlanıyoruz.
											Ve benim favori bilim-kurgu filmlerimin hepsi —
											Ben burada farklı dinamiklerle oynamak istiyorum.
											Bu gezegende bir miktar yaşam var.
											İşte burada, belli oranda doğal yaşam söz konusu.
											UFO'mdan zamanla elde edebileceğim araçlardan biri de,
											düşürebileceğim bir monolit.
									","
											Hier ist unser kleines Sonnensystem, als wir vom geschmolzenen Planeten wegblenden.
											Es gibt noch weitere Planeten in diesem Sonnensystem.
											Fliegen wir zu einem anderen.
											Es gibt eine unbegrenzte Anzahl von Welten,
											die man erforschen kann. Wenn wir in die Zukunft gehen,
											das Weltall erforschen,
											beziehen wir viele Dinge aus Science-Fiction mit ein.
											Alle meine Lieblings-Science-Fiction-Filme.
											Ich will verschiedene Szenarien durchspielen.
											Dieser Planet beherbergt Leben.
											Hier unten, eingeborene Lebensformen.
											Eines meiner Werkzeuge aus dem UFO ist ein Monolith,
											den ich hier hinstelle.
									","
											Aquí está nuestro sistema solar, nos alejamos del planeta fundido.
											Y tenemos otros planetas en este sistema solar.
											Volemos a otro.
											De hecho, tendremos un ilimitado número de mundos
											que pueden explorar. Cuando nos movemos hacia el futuro,
											y comenzamos a ir al espacio,
											estamos tomando cosas de la ciencia ficción.
											Y como en mis películas favoritas de ciencia ficción
											quiero jugar con diferentes dinámicas.
											Este planeta tiene algo de vida en él.
											Aquí está, hay vida nativa allí.
											Una herramienta que puedo sacar de mi OVNI es un monolito
											que puedo depositar.
									","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
","
","
","
","
","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
											(Rires)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									","
											(Risas)
									","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
","
","
","
","
","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
											Maintenant comme vous pouvez le voir, ces gens vont commencer à s'approcher
											et à s'incliner devant. Une fois qu'ils l'ont touché, ils vont devenir intelligent.
											Je peux donc choisir une espèce sur une planète et la rendre sensible et émotive.
											Vous voyez, maintenant ils sont passés à une dynamique tribale.
											Et là, étant donné que je suis le Créateur, je peux si je veux, sortir de mon vaisseau
											et marcher vers eux, ils devront me vénérer et me considérer comme leur dieu.
									","
											Como veem, estes seres vão começar
a dirigir-se para lá e adorá-lo.
											Com o tempo — depois de lhe terem tocado —
vão tornar-se inteligentes.
											Posso pegar numa espécie,
num dado planeta, e torná-la sensível.
											Reparem, evoluíram numa dinâmica tribal.
											Como sou eu que estou aqui, 
posso sair do OVNI
											aproximar-me deles, e eles adorar-me-ão
como a um deus.
									","
											Gördüğünüz gibi, bu arkadaşlar yanına gidip
											önünde saygıyla eğilmeye hazırlanıyorlar. Zaman içinde, ona bir kez dokunduklarında zeki hale gelecekler.
											Yani, gezegendeki bir türü alıp duyarlı hale getirebiliyorum.
											Gördüğünüz gibi, şimdi kabilesel hareketlerde bulundular.
											Ve, burada farklı bir tek ben olduğum için, istersem UFO'dan inip
											yürüyebilirim. Bu durumda bana tanrı muamelesi yapıp tapınmaları gerekiyor.
									","
											Wie man sieht, gehen die Jungs hier hin
											und verbeugen sich davor. Mit der Zeit, wenn sie ihn berühren, werden sie intelligent.
											Ich kann eine Spezies wählen und sie empfindsam machen.
											Es haben sich nun Stammeskräfte entwickelt.
											Und da ich hier bin, kann ich, wenn ich will, aus dem UFO steigen,
											zu ihnen gehen, und sie werden mich als Gott verehren.
									","
											Pueden ver que los sujetos comienzan a acercarse
											e inclinarse ante él, y cuando lo tocan, se vuelven inteligentes.
											Así que puedo tomar especies en un planeta y hacerlas conscientes.
											Ahora entramos en dinámicas tribales.
											Y ahora, como soy el Elegido, puedo salir del OVNI
											y aparecer y deberían adorarme como un dios.
									","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
","
","
","
","
","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
											(Rires)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									","
											(Risas)
									","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
","
","
","
","
","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
											Au début ils sont un peu effrayés.
											Ok, et bien peut-être qu'ils ne vont pas me vénérer.
									","
											A princípio ficam um pouco assustados.
											Talvez não me estejam a adorar...
									","
											İlk başta biraz ödleri kopuyor.
											Peki, belki de bana tapınmıyorlar.
									","
											Am Anfang haben sie etwas Angst.
											Vielleicht verehren sie mich auch nicht.
									","
											Al principio están asustados.
											Tal vez no me están adorando.
									","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
","
","
","
","
","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
											(Rires)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									","
											(Risas)
									","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
","
","
","
","
","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
											Je crois que je vais partir avant qu'ils ne deviennent hostiles.
									","
											É melhor ir-me embora
antes que se tornem hostis...
									","
											Onları kızdırmadan gitsem iyi olur.
									","
											Ich verschwinde lieber, bevor es ungemütlich wird.
									","
											Creo que me iré antes de que sean hostiles.
									","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
","
","
","
","
","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
											Nous voulons une grande diversité dans les activités que les joueurs pourraient faire.
											Je veux que l'on soit capable de re-jouer
											""Le Jour ou la Terre s'arrêta"", ""2001, L'Odyssée de l'Espace"",
											""Star Trek"", ""La Guerre des Mondes"".
											Maintenant, lorsque nous nous écartons de ce monde — Nous allons continuer à nous écarter de l'étoile —
											L'un des choses qui m'a toujours frustré en matière d'astronomie
											quand j'étais petit, était la façon dont elle était présentée en deux dimensions
											et si statique. Lorsque que l'on s'éloigne de l'étoile nous allons nous retrouver
											en dehors, dans l'espace interstellaire,
											et nous allons prendre conscience de l'espace autour de notre étoile maternelle.
									","
											Queremos dar aos jogadores uma série de
atividades que possam explorar.
											que seja possível jogar a
""O Dia em que a Terra Parou"",
											""2001: Odisseia no Espaço"",
											""O Caminho das Estrelas"", 
""Guerra dos Mundos"",
											Vamos continuar a afastar-nos da estrela.
											Uma das coisas que sempre me frustrou
um pouco em relação à Astronomia,
											é ela ser sempre apresentada
de forma bidimensional e estática.
											À medida que nos afastamos da estrela,
											estamos a dirigir-nos
para o espaço interestelar,
											e ficamos com uma noção do espaço
em volta da nossa estrela-mãe.
									","
											Ama biz işin özünde oyuncuların aktivite çeşitliliğiyle oynamalarını istiyoruz.
											Temel olarak, bilirsiniz, ""The Day the Earth Stood Still"" [Dünyanın Durduğu Gün],
											""2001 Space Odyssey"" [2001 Bir Uzay Destanı],
											""Star Trek,"", ""War of the Worlds"" [Dünyalar Savaşı] oynayabimek istiyorum.
											Evet, bu dünyadan uzaklaşırken —yıldızdan uzaklaşmaya devam edeceğiz—
											çocukluğumda astronomiyle ilgili beni bir miktar hayal kırıklığına uğratan
											şeylerden biri, onun daima iki boyutlu ve durağan şekilde sunulmasıydı.
											Yıldızdan uzaklaşırken, aynı zamanda yıldızlar arası
											ortamın dışına çıkıyoruz
											ve kendi evimizin yıldızının etrafında uzayın varlığını hissediyoruz.
									","
											Wir wollten im Grunde eine abwechslungsreiche Spielerfahrung erschaffen.
											Ich will die Möglichkeit haben, Dinge zu spielen wie
											""Der Tag, an dem die Erde stillstand"", ""2001 Space Odyssey"",
											""Star Trek"", ""Krieg der Welten"".
											Während wir herauszoomen, weiter weg vom Stern,
											gibt es etwas, das mich schon als Kind an Astronomie frustriert hat.
											Die Darstellung war immer zweidimensional
											und statisch. Während wir vom Stern wegzoomen,
											in den interstellaren Raum,
											bekommen wir eine Vorstellung vom Raum um unseren Heimatplaneten.
									","
											Pero básicamente quiero una diversidad de actividades que se pueda jugar,
											Básicamente quiero poder jugar,
											""El Día en que Paralizaron la Tierra"" ""2001: Una Odisea Espacial""
											""Viaje a las Estrellas"" ""La Guerra de los Mundos""
											Nos alejamos de este mundo — no alejaremos de la estrella —
											una de las cosas que siempre me frustraba de la astronomía
											cuando era niño es cómo se presenta siempre bi-dimensionalmente
											y tan estática. Mientras nos alejamos de la estrella, vamos hacia
											un viaje interestelar,
											y tenemos una sensación de espacio en torno de nuestra estrella.
									","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
","
","
","
","
","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
											Ce que je voulais vraiment faire était de présenter ceci
											en 3D avec la meilleure résolution possible.
											Non seulement ça mais aussi de montrer les dynamiques,
											et un grand nombre d'objet que l'ont pourrait voir, peut-être grâce au Hubble,
											à des échelles et des fréquences vraiment réalistes.
											Donc la plupart des gens, vous savez, n'ont aucune idée de la différence entre
											un émission nébuleuse et une nébuleuse planétaire.
											Mais ces choses sont des choses que nous pouvons mettre dans cette galaxie.
											Nous allons nous diriger vers celle-ci et vers ce qui semble être un trou noir.
											Je veux avoir la panoplie complète des objets d'Hubble
											avec lesquels les joueurs pourraient interagir et jouer, encore une fois comme un jouet.
											Voici donc un petit trou noir duquel nous ne voudrions pas trop nous approcher.
											Nous avons donc aussi des étoiles et d'autres choses.
											Si nous continuons à nous éloigner nous commençons à voir la galaxie entière,
											et dans un mouvement ralenti. Ceci est une autre chose pour laquelle en général,
											quand les gens présentent les galaxies, cela toujours été ces très belles photos.
											Mais elles étaient toujours statiques. Quand vous commencez à les ramener dans le temps
											et commencez à les animer, c'est quelque chose de fantastique,
											savoir de quoi une galaxie aurait l'air en accéléré.
									","
											Eu quis apresentar isto de uma forma
											tão maravilhosamente tridimensional
como na realidade é.
											E não só isso, como também
mostrar a dinâmica,
											os objetos interessantes
que se podem encontrar,
											a frequências e escalas
o mais realistas possível.
											Porque a maioria das pessoas
não tem noção da diferença
											entre uma nebulosa de emissão
e uma nebulosa planetária.
											Este é o tipo de coisas
que podemos pôr nesta pequena galáxia.
											Estamos a voar para o que parece ser
um buraco negro.
											Quero ter toda panóplia
de objetos do Hubble,
											para que as pessoas possam
interagir com eles, como brinquedos.
											Temos aqui um pequeno buraco negro,
											do qual provavelmente
não nos queremos aproximar.
											Mas também temos estrelas e outras coisas.
											Se nos afastarmos o suficiente,
começamos a ver a galáxia inteira
											como em câmara lenta.
											Isto é outro aspeto em que
são apresentadas as galáxias.
											São como fotografias muito belas,
mas são sempre estáticas.
											Quando avançamos no tempo
e começamos a animar a situação,
											o aspeto duma galáxia é assombroso,
com a velocidade aumentada,
									","
											Yapmak istediğim şey, aslında, size bunu
											gerçekte olduğu gibi muhteşem 3D haliyle sunabilmek.
											Sadece bu da değil; az çok gerçekçi frekans ve ölçeklerde
											dinamikleri ve belki Hubble'da olsaydınız karşısınıza çıkabilecek pek çok ilginç objeyi,
											göstermeyi de istiyorum.
											Çoğu insanın, emisyon nebulası ve
											gezegen nebulası arasındaki farka dair hiçbir fikri yok.
											Oysa bunlar bizim bu küçük galaksiye koyabileceğimiz şeyler.
											Şimdi bu kara delik gibi görünen yere uçuyoruz.
											İşin aslı, insanların etkileşime girip oyuncak gibi oynayabilecekleri,
											Hubble objeleriyle dolu bir hayvanat bahçesi yaratmak istiyorum.
											Burada, muhtemelen çok yakınına gitmek istemeyeceğimiz bir kara delik var.
											Ama yıldızlar ve başka şeyler de var.
											İyice geri çekilirsek, tüm galaksiyi
											yavaş yavaş hareket ederken görebiliriz.
											İnsanlar galaksileri takdim ederken, hep bu güzel fotoları görüyoruz.
											Ama hep durağanlar. Zamanı öne alıp
											hareketlendirdiğinizde, hızla ileri hareket eden
											bir galaksinin görünümü cidden büyüleyici.
									","
											Mit dieser Präsentation wollte ich zeigen,
											wie wunderschön es wirklich in 3-D ist.
											Und hinzu kommen noch die Kräfteentwicklungen
											und viele interessante Dinge, die man zum Beispiel mit dem Hubble-Teleskop finden kann,
											in realistischen Häufigkeiten und Größen.
											Die meisten Menschen kennen nicht den Unterschied zwischen einem
											Emissionsnebel und einem Planetarischen Nebel.
											Aber so etwas können wir in dieser Galaxie einbauen.
											Wir können hier zu einem Schwarzen Loch fliegen.
											Ich will den gesamten Zoo der Hubble-Objekte haben,
											so dass man damit interagieren und sie als Spielzeuge verwenden kann.
											Diesem Schwarzen Lock sollte man sich besser nicht nähern.
											Es gibt auch Sterne und dergleichen.
											Wenn man komplett herauszoomt, sieht man die gesamte Galaxie,
											langsam in Bewegung. Dies ist ein weiterer Punkt.
											Wenn Galaxien gezeigt werden, geschieht dies mittels schöner Fotos.
											Sie sind immer statisch. Aber wenn man die Zeit weiterlaufen lässt
											und dies animiert, geschieht etwas Beeindruckendes.
											Man sieht die Galaxie im Schnellvorlauf.
									","
											Lo que realmente quería hacer es presentar esto,
											tan maravillosamente 3D como realmente es.
											Y no solo eso, sino también mostrar las dinámicas,
											y muchos objetos interesantes que pueden encontrares, como en el Hubble,
											a frecuencias y escalas casi realistas.
											La mayoría de la gente no tiene idea de la diferencia entre,
											una nebulosa de emisión y una nebulosa planetaria.
											Pero estas son las cosas que podemos poner en esta galaxia.
											Volamos aquí hasta lo que parece un agujero negro.
											Quiero tener un zoológico de objetos Hubble
											con los que la gente pueda interactuar y jugar como juguetes.
											Aquí hay un agujero negro al que probablemente no queremos acercarnos.
											Pero también estrellas y otras cosas.
											Si nos retiramos, comenzamos a ver toda la galaxia aquí,
											como en cámara lenta. Y esta es otra cosa donde típicamente,
											cuando la gente presenta galaxias, siempre son estas hermosas fotos.
											Pero siempre estáticas. Y cuando se adelanta el tiempo
											y comienza a animarse, es asombroso,
											cómo puede verse una galaxia, acelerada.
									","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
","
","
","
","
","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
											Cela représente à peu près un million d'année par seconde,
											parce que vous avez grosso-modo une supernova chaque siècle.
											Et donc vous voyez cette magnifique chose pétillante, qui tourne lentement,
											et c'est en gros ce à quoi cela aurait l'air.
											Il s'agît d'amener la beauté de tout ça, du monde tel qu'il est,
											de façon très imagée à quelqu'un qui pourrait calibrer ses instincts
											au travers de ces vastes échelles d'espace et de temps.
									","
											à velocidade de 
um milhão de anos por segundo,
											porque se tem cerca 
de uma supernova por século.
											Teríamos esta maravilhosa coisa cintilante,
rodando lentamente,
											e é aproximadamente assim que ocorreria.
											O jogo pretende, em parte, mostrar
a beleza do mundo natural
											de uma forma imaginativa, para que
comecem a recalibrar o seu instinto
											ao longo destas escalas espaciais
e temporais muito vastas.
									","
											Zamanı yaklaşık saniyede bir milyon yıl hızlandırıyorsunuz,
											çünkü kabaca her yüz yılda bir tane süpernova oluyor.
											Ve işte bu harika, ışıl ışıl şeyi, yavaş dönüş hareketiyle görüyorsunuz.
											Gerçekte de kabaca böyle görünüyor. İnanın bana,
											oyunun bir parçası da, insanlara bunun, doğal yaşamın güzelliğini
											yaratıcı bir şekilde göstermek. Böylece, bu çok büyük ölçekteki uzay ve zamanda
											sezgilerini gözden geçirebilirler.
									","
											Ungefähr eine Million Jahre pro Sekunde,
											denn es gibt etwa eine Supernova in jedem Jahrhundert.
											So entsteht dieses wunderschöne glitzernde, sich langsam drehende Ding,
											es sähe ungefähr so aus. Es soll hier
											diese Schönheit der natürlichen Welt näher gebracht werden,
											auf eine sehr kreative Art und Weise, damit jeder seine Intuition kalibrieren kann
											im Hinblick auf die Weiten von Raum und Zeit.
									","
											Esto sería un millón de años por segundo,
											porque hay aproximadamente una supernova cada siglo.
											y tenemos esta cosa parpadeando, con esta lenta rotación,
											y así es como se vería aproximadamente. Y realmente,
											parte de esto es acercar la belleza del mundo natural,
											a alguien de una manera imaginativa, para que puedan calibrar sus instintos
											a lo largo de vastas escalas de espacio y tiempo.
									","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
","
","
","
","
","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
											Chris se demandaient quels types de dieux les joueurs deviendraient.
											Car si vous y réfléchissez, il y aura des enfants de 15 ans,
											20 ans, peu importe, volant autour de cet univers,
											et pouvant devenir un dieu nourrisseur. Ils pourraient devenir des colons de l'espace
											sur des planètes, en essayant de terra-former pour répandre la civilisation.
											Vous pourriez devenir un dieu vengeur et descendre pour conquérir
											car vous pouvez faire ça, vous pouvez envahir et attaquer d'autres races intelligentes.
											Vous pourriez être un dieu réseauteur, en créant des alliances
											ce qui est aussi prévu dans le jeux, ou être juste curieux,
											en traînant et en désirant explorer le plus que vous pourrez.
									","
											O Chris interrogava-se sobre em que deuses
os jogadores se tornariam.
											Porque vamos ter jovens
de 15, 20 anos e mais
											a vaguear por este Universo.
											Eles podem tornar-se deuses generosos.
											Podem decidir fomentar a vida, terraplenar
os planetas e espalhar a civilização.
											Ou tornar-se deuses vingadores, 
conquistadores,
											porque isso é possível, podemos
atacar outras raças inteligentes.
											Ou tornar-se deuses colaboradores,
construindo alianças.
											Ou apenas curiosos, vagueando
e explorando tanto quanto possível.
									","
											Chris, oyuncuların ne tür tanrılar haline geleceğini merak ediyordu.
											Düşünürseniz, bu evrende oradan oraya uçacak 15 yaşında,
											20 yaşında, her neyse, tipler olacak.
											Bunlar besleyici tanrılar olabilirler. Gezegen yüzeyinde ve atmosferde gerekli değişiklikleri yaparak
											yaşam başlatıyor ve uygarlığı yaymaya çalışıyor olabilirler.
											Dışarı çıkıp her yeri ele geçiren intikamcı bir tanrı olabilirsiniz,
											çünkü bu olanağınız var; gidip diğer zeki ırklara saldırabilirsiniz.
											İşbirlikleri kuran, arabulucu bir tanrı olabilirsiniz,
											ki bu da oyunda imkan dahilinde. Ya da etrafta öylece dolanan ve
											mümkün olduğu kadar çok keşif yapmak isteyen meraklı bir tanrı olabilirsiniz.
									","
											Chris hat sich gefragt, welche Art von Gottheit die Spieler werden würden.
											Wenn man darüber nachdenkt, werden 15-Jährige,
											20-Jährige durch dieses Universum fliegen.
											Sie sind vielleicht ein fördernder Gott. Sie erschaffen selbst Leben
											auf den Planeten, erdähnliche Zustände, verbreiten Zivilisationen.
											Oder ein rachsüchtiger Gott, erobernd,
											denn man kann einfach andere intelligente Rassen angreifen.
											Oder ein Gott, der Netzwerke und Allianzen aufbaut,
											was man auch tun kann, oder der nur neugierig
											umherstreift und dabei so viel wie möglich erforscht.
									","
											Chris se preguntaba en qué clase de dioses se convertirían los jugadores.
											Porque si lo piensan, tendremos jóvenes de 15 años,
											20 años, lo que fuera, volando por este universo.
											Y podrían ser un dios fecundo. Podrían impulsar la vida
											en los planetas, tratando de terra-formar y esparcir la civilización.
											Podrían ser un dios vengativo y salir a conquistar,
											porque pueden hacer eso, pueden atacar otras razas inteligentes.
											Pueden ser un dios comunicativo, construyendo alianzas,
											lo cual también pueden hacer en el juego, o sólo curioso,
											viajando y tratando de explorar tanto como puedan.
									","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
","
","
","
","
","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
