fr,en,pt,tr,de,title,speaker,duration,tags
"
											Mais où cela nous mène-t-il ?
											L'astuce, c'est qu'avec
tous les médias précédents,
											le format est fixé dès le début.
											Le film est une séquence de rectangles,
											de Muybridge et ses chevaux à aujourd'hui.
											Le format n'a jamais changé.
											Mais la réalité virtuelle
comme format, comme média,
											n'est pas encore aboutie.
											Elle n'utilise pas de celluloïd,
de papier ou de signal télé.
											Elle se sert de ce que nous utilisons
pour donner un sens au monde.
											Nous utilisons vos sens
comme la peinture sur la toile,
											mais seulement deux sens pour l'instant.
											Un jour, quand tous nos sens
seront utilisés,
											nous pourrons vivre l'histoire
à partir de l'angle de notre choix.
											Nous appelons cela
réalité virtuelle pour l'instant,
											mais que se passe-t-il
quand on dépasse les réalités simulées ?
											Comment appelle-t-on cela ?
											Si au lieu de vous raconter
un rêve de vive voix,
											je pouvais vous laisser vivre
à l'intérieur de ce rêve ?
											Si au lieu de simplement expérimenter
certaines réalités de la Terre,
											vous pouviez surfer sur des vagues
gravitationnelles au bord d'un trou noir,
											créer des galaxies à partir de rien,
											ou communiquer sans utiliser de mots
											mais à l'aide de nos pensées brutes ?
											Ce n'est plus de la réalité virtuelle.
											Honnêtement, je ne sais pas ce que c'est.
											Mais j'espère que vous comprenez
où je veux en venir.
									","
											But where do we go from here?
											The tricky thing is that
with all previous mediums,
											the format is fixed at its birth.
											Film has been a sequence of rectangles,
											from Muybridge and his horses to now.
											The format has never changed.
											But VR as a format, as a medium,
											isn't complete yet.
											It's not using physical celluloid
or paper or TV signals.
											It actually employs what we use
to make sense of the world.
											We're using your senses
as the paints on the canvas,
											but only two right now.
											Eventually, we can see if we will have
all of our human senses employed,
											and we will have agency to live
the story in any path we choose.
											And we call it virtual reality right now,
											but what happens when we move
past simulated realities?
											What do we call it then?
											What if instead of verbally
telling you about a dream,
											I could let you live inside that dream?
											What if instead of just experiencing
visiting some reality on Earth,
											you could surf gravitational waves
on the edge of a black hole,
											or create galaxies from scratch,
											or communicate with each other
not using words
											but using our raw thoughts?
											That's not a virtual reality anymore.
											And honestly I don't know
what that's called.
											But I hope you see where we're going.
									","
											Mas, a partir daqui, vamos para onde?
											O difícil é que,
com todos estes preciosos meios,
											o formato está fixo
desde o seu nascimento.
											Um filme tem sido uma sequência
de retângulos,
											desde Muybridge e os seus cavalos,
até agora.
											O formato nunca mudou.
											Mas a RV, como formato, como meio,
											ainda não está completa.
											Não usa o filme celuloide físico
ou papel ou sinais de rádio.
											Ela emprega o que usamos
para compreender o mundo.
											Estamos a usar os nossos sentidos
como tintas sobre tela,
											mas apenas duas, neste momento.
											Eventualmente, vamos ver se teremos
todos os sentidos humanos empregues,
											e se vamos ter meios para viver a história
qualquer que seja a via escolhida.
											Podemos chamar-lhe realidade virtual
neste momento,
											mas o que acontece quando ultrapassarmos
as realidades simuladas?
											O que lhe vamos chamar, então?
											E se, em vez de vos contar
verbalmente um sonho,
											vos permitisse viverem dentro desse sonho?
											E se, em vez de apenas experimentarem
visitar alguma realidade na Terra,
											vocês pudessem surfar ondas gravitacionais
no limite de um buraco negro,
											ou pudessem criar galáxias do nada,
											ou pudessem comunicar uns com os outros
sem usar palavras,
											usando o pensamento?
											Isso já não é realidade virtual.
											E, sinceramente, não sei como se chama.
											Mas espero que vejam
para onde estamos a ir.
									","
											Fakat buradan nereye gideriz?
											Garip olan şey daha önceki araçlarda
											format çıktığında sabitlenmişti.
											Film sıralanan dikdörtgenlerdi,
											Muybridge ve atlarından günümüze,
											format hiç değişmedi.
											Ama sanal gerçeklik 
format olarak, araç olarak
											henüz tamamlanmış değil.
											Fiziki selüloit, kâğıt veya 
TV sinyalleri kullanmıyor.
											Aslında dünyayı anlamlandırmak için 
kullandığımız şeyden yararlanıyor.
											Kanvastaki boyalar gibi 
sezgilerinizi kullanıyoruz,
											ama şimdi sadece iki tane.
											Sonunda bütün insani hislerimizin 
kullanılıp kullanılmadığını göreceğiz
											ve seçtiğimiz yoldaki hikâyemizde 
yaşamak için aracımız olacak.
											Ona şimdi sanal gerçeklik diyoruz,
											ama simule edilmiş gerçekleri 
geçince ne oluyor?
											O zaman ona ne deriz?
											Size sözel olarak bir rüyadan 
bahsetmek yerine,
											o rüyanın içinde yaşamanıza izin versem?
											Dünyadaki bazı gerçek yerleri sadece 
ziyaret ederek deneyimlemek yerine,
											kara deliğin kenarında yerçekimsel 
dalgalarla sörf yapabilseniz
											veya sıfırdan galaksiler yaratabilseniz
											veya birbirinizle kelimeleri değil,
											ham düşünceleri kullanarak 
iletişim kurabilseniz ne olurdu?
											Bu artık sanal gerçeklik değil.
											Dürüst söylemek gerekirse 
ona ne dendiğini bilmiyorum.
											Ama umarım nereye doğru
gittiğimizi görüyorsunuz.
									","
											Aber wie geht es danach weiter?
											Das Knifflige ist, dass bei
allen vorherigen Medien
											das Format bei ihrer Entstehung feststand.
											Film war eine Folge von Rechtecken,
											von Muybridge mit
seinen Pferden bis heute.
											Das Format hat sich nie geändert.
											Aber VR ist als Format und als Medium
											noch nicht komplett.
											Es nutzt weder physisches Zelluloid,
noch Papier oder TV-Signale.
											Es verwendet das, was wir nutzen,
um der Welt einen Sinn zu geben.
											Wir nutzen Ihre Sinne
wie Farben auf einer Leinwand,
											aber zurzeit nur zwei.
											Irgendwann werden wir sehen, ob wir
all unsere menschlichen Sinne einsetzen.
											Und wir werden die Mittel haben,
um die Handlung wie gewünscht zu erleben.
											Wir nennen es zurzeit Virtuelle Realität,
											aber was passiert, wenn wir
simulierte Realitäten hinter uns lassen?
											Wie nennen wir es sonst?
											Was wäre, wenn wir statt verbal
von einem Traum zu erzählen,
											Sie in diesem Traum leben lassen könnten?
											Was, wenn wir statt nur eine Realität
auf der Erde zu erleben
											auf Gravitationswellen am Rand
eines schwarzen Lochs surfen,
											Galaxien aus dem Nichts
erschaffen könnten
											oder miteinander ohne Worte
kommunizieren könnten,
											allein durch unser bloßen Gedanken?
											Das ist keine virtuelle Realität mehr.
											Ehrlich gesagt, weiß ich nicht,
wie man das nennt.
											Aber ich hoffe, Sie sehen,
worauf es hinausläuft.
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											Mais me voilà, à philosopher
sur un média que je nomme expérimental.
											Alors, expérimentons.
											Dans vos mains, vous devriez avoir
un outil en carton.
											Ouvrons le rabat.
											Appuyez sur le bouton d'alimentation
pour déverrouiller le téléphone.
											Pour ceux qui regardent chez eux,
											nous allons présenter
											comment télécharger
cette expérience sur votre téléphone
											et même obtenir un Google Cardboard
pour essayer vous-même.
											Quand nous étions enfants,
nous jouions avec des cartons.
											En tant qu'adultes, nous pouvons tous
retrouver cet émerveillement
											en collant notre tête à nouveau
dans un carton.
											Vous allez participer
											au plus grand visionnage collectif
de réalité virtuelle de l'histoire.
											Comme au bon vieux temps,
											nous allons tous regarder quelque chose
											ensemble, exactement au même moment.
											Espérons que ça marche.
											Où en est le compte à rebours ?
Je ne le vois pas.
									","
											But here I am, intellectualizing
a medium I'm saying is experiential.
											So let's experience it.
											In your hands, you hopefully hold
a piece of cardboard.
											Let's open the flap.
											Tap on the power button
to unlock the phone.
											For the people watching at home,
											we're going to put up a card right now
											to show you how to download
this experience on your phone yourself,
											and even get a Google cardboard
of your own to try it with.
											We played in cardboard boxes as kids,
											and as adults, I'm hoping we can all find
a little bit of that lightning
											by sticking our head in one again.
											You're about to participate
											in the largest collective
VR viewing in history.
											And in that classic old-timey
style of yesteryear,
											we're all going to watch something
											at the exact same time, together.
											Let's hope it works.
											What's the countdown
look like? I can't see.
									","
											Mas, aqui estou eu, a intelectualizar
um meio que digo ser experimental.
											Então, vamos experimentá-lo.
											Nas vossas mãos,
espero que esteja um pedaço de cartão.
											Vamos abrir a tampa.
											Pressionem o botão de ligar
para desbloquear o telemóvel.
											Para as pessoas
que estão a assistir em casa,
											vamos levantar um cartão, agora,
											para vos mostrar como descarregar
esta experiência no vosso telemóvel,
											e obter um cartão da Google vosso,
para tentarem fazer isto com ele.
											Brincámos em caixas de cartão
quando éramos miúdos,
											e como adultos, espero que possamos todos
encontrar um pouco daquele relâmpago
											ao metermos a nossa cabeça
num cartão, outra vez.
											Estão prestes a participar
											na maior visão coletiva de RV da História.
											E no clássico estilo antiquado
do passado,
											vamos todos assistir a uma coisa
											ao mesmo tempo, juntos.
											Esperemos que funcione.
											Onde vai a contagem decrescente?
Não consigo ver.
									","
											Ama işte burada, deneysel olduğunu 
söylediğim bir araçtan bahsediyorum.
											Haydi onu deneyimleyelim.
											Ellerinizde umarım bir 
mukavva parçası tutuyorsunuz.
											Haydi kanadını açalım.
											Telefonu açmak için aç düğmesine basın.
											Evde seyredenler için
											bir kart koyarak şimdi 
sizlere telefonunuzda
											kendinizin bu deneyimin nasıl 
yükleyeceğinizi ve onunla beraber
											denemek için Google Cardboard (mukavva)'u 
nasıl edineceğinizi göstereceğim.
											Çocukken mukavva kutularla oynadık
											ve büyüyünce birine 
tekrar kafamızı geçirip
											bir parça şimşek bulmamızı umuyorum.
											Tarihteki en büyük
											toplu sanal gerçeklik gösterimine 
katılmak üzeresiniz.
											Geçen senenin klasik, eski zaman stilinde
											aynı zamanda, hep birlikte
											bir şeyler seyredeceğiz.
											Umarım işe yarar.
											Geriye sayım nasıl oluyor? Göremiyorum.
									","
											Aber hier intellektualisiere ich
ein experimentelles Medium.
											Experimentieren wir!
											Sie halten hoffentlich ein
Stück Pappe in Ihren Händen.
											Öffnen wir mal die Klappe.
											Drücken Sie den An-Knopf
und entsperren Sie das Handy.
											Allen, die von zu Hause zusehen,
											werden wir gleich einen Karton zeigen,
											um zu zeigen, wie man dieses Erlebnis
auf sein Handy runter lädt
											und sogar einen Google-Karton erhält,
um es selbst auszuprobieren.
											Wir haben als Kinder in Kartons gespielt
											und hoffentlich können wir als Erwachsene
alle etwas von diesem Licht finden,
											indem wir unseren Kopf
wieder in einen stecken.
											Sie sind dabei, an einem der größten
kollektiven VR-Erlebnisse
											in der Geschichte teilzunehmen.
											Und in dem altertümlichen
Stil der Vergangenheit
											werden wir etwas
											gemeinsam gleichzeitig ansehen.
											Hoffentlich klappt es.
											Wie läuft's mit dem Countdown?
Ich sehe nichts.
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											Audience : ... 15, 14, 13, 12, 11, 10, 9,
											8, 7, 6, 5, 4, 3, 2, 1
									","
											Audience: ...15, 14, 13, 12, 11, 10, 9,
											8, 7, 6, 5, 4, 3, 2, 1
									","
											Audiência: ...15, 14, 13, 12, 11, 10, 9
											8, 7, 6, 5, 4, 3, 2, 1!
									","
											Seyirci: ...15, 14, 13, 12, 11, 10, 9,
											8, 7, 6, 5, 4, 3, 2, 1
									","
											Publikum: ... 15, 14, 13, 12, 11, 10, 9,
											8, 7, 6, 5, 4, 3, 2, 1
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											(Chants d'oiseaux)
									","
											(Birds singing)
									","
											(Pássaros a cantar)
									","
											(Kuşlar ötüyor)
									","
											(Singende Vögel)
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											(Moteur de train)
									","
											(Train engine)
									","
											(Som de comboio em andamento)
									","
											(Tren motoru)
									","
											(Lokomotive)
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											Public : (Cris)
									","
											Audience: (Shreiks)
									","
											Audiência: (Gritos)
									","
											Seyirci: (Çığlıklar)
									","
											Publikum: (Schreie)
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											(Vidéo)
Laissez-moi vous dire
											comment j'ai conçu la couverture
du New York Times Magazine,
											« Walking New York ».
											Je viens d'attacher mon équipement
hors de l'hélicoptère
											et je dois être parfaitement
vertical pour pouvoir l'attraper.
											Quand j'étais pile au-dessus…
											vous savez, avec le vent,
nous avons dû refaire la scène…
											Puis j'ai continué à filmer.
									","
											(Video) JR: Let me tell you
											how I shot the cover
of the New York Times Magazine,
											""Walking New York.""
											I just got strapped on
outside the helicopter,
											and I had to be perfectly
vertical so I could grab it.
											And when I was perfectly above —
											you know, with the wind,
we had to redo it a few times —
											then I kept shooting.
									","
											(Vídeo) JR: Deixem-me dizer-vos
											como filmei a capa
da New York Times Magazine.
											""Andando por Nova Iorque"".
											Fui atado ao exterior do helicóptero,
											e tinha de estar absolutamente vertical
para o conseguir fazer.
											Quando estava exatamente por cima
											— sabem, com o vento,
tivemos de o refazer algumas vezes —
											mantive-me a filmar.
									","
											(Video) JR: İzin verin size
											New York Times Magazine'nin 
""New York'ta Yürümek""
											adlı kapağını nasıl çektiğimi anlatayım.
											Helikopterin dışına bağlanmıştım
											ve çekim yapmak için mükemmel 
dik açım olmalıydı.
											Tam yukarıdayken —
											bilirsiniz, rüzgârla beraber birkaç kere 
tekrarlamak zorunda kaldık —
											sonra çekim yapmaya devam ettim.
									","
											(Video) JR: Ich möchte Ihnen sagen,
											wie ich das Titelblatt des New York
Time Magazines aufgenommen habe,
											""Walking New York.""
											Ich wurde außen an
einem Helikopter gesichert
											und ich musste komplett vertikal sein,
um es zu erfassen.
											Ich war genau darüber —
											bei dem Wind mussten wir es
ein paar Mal wiederholen —
											und filmte weiter.
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											(Vidéo)
Voix de femme : Cher Seigneur,
											protège-nous du mal,
											car vous êtes le Seigneur,
											la lumière.

											Vous nous avez donné la vie,
puis l'avez reprise.
											Que votre volonté soit faite.
											Apportez la paix à tous ceux
qui ont perdu des êtres chers.
											Aidez-nous à revivre.
									","
											(Video) Woman's voice: Dear Lord,
											protect us from evil,
											for you are the Lord,
											the light.
											You who gave us life took it away.
											Let your will be done.
											Please bring peace to the many
who have lost loved ones.
											Help us to live again.
									","
											(Vídeo) Voz de mulher: Meu Deus,
											protege-nos do mal,
											Tu és o Senhor,
											a luz.
											Tu, que nos deste a vida, levaste-a.
											Seja feita a Tua vontade.
											Por favor, traz a paz aos muitos
que perderam entes queridos.
											Ajuda-nos a viver outra vez.
									","
											(Video): Kadın sesi: Sevgili Tanrı,
											bizi şeytandan koru,
											çünkü sen Tanrı'sın,
											ışık.
											Bize hayat veren sen, geri aldın.
											Bitmesine izin ver.
											Sevdiklerini kaybeden nicelerine 
lütfen huzur ver.
											Tekrar yaşamamıza yardımcı ol.
									","
											(Video) Frauenstimme: Lieber Gott,
											schütze uns vor dem Bösen,
											denn du bist der Herr,
											das Licht.
											Du gabst uns das Leben und nahmst es uns.
											Dein Wille geschehe.
											Bitte gib all jenen Frieden,
die ihre Liebsten verloren haben.
											Hilf uns, wieder zu leben.
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											(Musique)
									","
											(Music)
									","
											(Música)
									","
											(Müzik)
									","
											(Musik)
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											(Voix d'enfants)(Vidéo)
									","
											(Video) (Children's voices)
									","
											(Vídeo) (Vozes de crianças)
									","
											(Video) (Çocukların sesleri)
									","
											(Video) (Kinderstimmen)
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											Voix d'enfant : Il y a plus d'enfants
que d'adultes à Zaatari en ce moment.
											Parfois je pense
											que nous sommes responsables.
									","
											Child's voice: There are more kids
in Zaatari than adults right now.
											Sometimes I think
											we are the ones in charge.
									","
											Voz de criança: Há mais miúdos em Zaatari
do que há adultos, agora.
											Às vezes, penso que somos nós
que mandamos.
									","
											Çocuk sesi: Zaatari'de şimdi 
yetişkinlerden daha fazla çocuk var.
											Bazen bizim sorumlular
											olduğumuzu düşünüyorum.
									","
											Kinderstimme: Es gibt zurzeit
in Zaatari mehr Kinder als Erwachsene.
											Manchmal denke ich,
											dass wir dafür verantwortlich sind.
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											Chris Milk : C'était comment ?
									","
											Chris Milk: How was it?
									","
											Chris Milk: Que tal foi?
									","
											Chris Milk: Nasıldı?
									","
											Chris Milk: Wie war das?
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											(Applaudissements)
									","
											(Applause)
									","
											(Aplausos) (Gritos)
									","
											(Alkış)
									","
											(Applaus)
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											C'était une manière facile
d'obtenir une standing ovation.
											Je viens de provoquer cela.
Je savais que vous applaudiriez à la fin.
									","
											That was a cheap way of getting you
to do a standing ovation.
											I just made you all stand.
I knew you'd applaud at the end.
									","
											Esta foi uma forma manhosa de conseguir
uma ovação de pé.
											Fiz-vos levantarem-se.
sabia que iriam aplaudir no final.
									","
											Bu sizi ayakta alkışlatmanın 
ucuz bir yoluydu.
											Hepinizi ayağa kaldırdım. 
En sonda alkışlayacağınızı biliyordum.
									","
											Damit sicherte ich mir ziemlich
einfach eine stehende Ovation.
											Ich brachte Sie dazu, aufzustehen. Ich
wusste, Sie würden am Ende applaudieren.
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											(Applaudissements)
									","
											(Applause)
									","
											(Aplausos)
									","
											(Alkış)
									","
											(Gelächter)
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											Je crois que tout le monde
a besoin d'expérimenter
											ce que vous venez d'expérimenter.
											Ainsi nous pouvons commencer
à mettre cela en forme collectivement,
											pas en plateforme technologique,
											mais en plateforme d'humanité.
											Dans cette optique,
en novembre l'année dernière,
											New York Times et Vrse ont créé un projet
de réalité virtuelle, « The Displaced »,
											sorti avec un million de Google Cardboards
											envoyés avec le journal
à chaque abonné du dimanche.
											Mais une drôle de chose est arrivée
ce dimanche matin.
											Beaucoup de gens les ont reçus
											alors qu'ils n'étaient pas
les véritables destinataires.
											On a commencé
à voir des photos sur Instagram.
											Cela vous rappelle quelque chose ?
									","
											I believe that everyone on Earth
needs to experience
											what you just experienced.
											That way we can collectively
start to shape this,
											not as a tech platform
											but as a humanity platform.
											And to that end, in November of last year,
											the New York Times and Vrse made
a VR project called ""The Displaced.""
											It launched with one million
Google Cardboards
											sent out to every Sunday subscriber
with their newspaper.
											But a funny thing happened
that Sunday morning.
											A lot of people got them
											that were not the intended recipients
on the mailing label.
											And we started seeing this
all over Instagram.
											Look familiar?
									","
											Acredito que toda a gente na Terra
precisa de viver a experiência
											que acabaram de viver.
											Assim, podemos começar
coletivamente a dar forma a isto,
											não como uma plataforma técnica
											mas como uma plataforma humana.
											E, para esse fim,
em novembro do ano passado,
											o New York Times e a Vrse fizeram
um projeto chamado ""Os deslocados"".
											Foi lançado com um milhão
de cartões da Google
											enviados a cada subscritor 
junto com o seu jornal de domingo.
											Mas aconteceu uma coisa engraçada
nessa manhã de domingo.
											Muitas das pessoas que os receberam
											não eram os destinatários constantes
do endereço de correio nos jornais.
											Começámos a ver isto
por todo o Instagram.
											Parece-vos familiar?
									","
											Biraz önce deneyimlediğiniz şeyi 
dünyadaki herkesin deneyimlemesi
											gerektiğini düşünüyorum.
											Bu şekilde bunu bir teknoloji 
platformu olarak değil,
											bir insanlık platformu olarak birlikte
											şekillendirmeye başlayabiliriz.
											Bu amaçla, geçen sene Kasım ayında
											New York Times and Vrse ""Mülteci"" 
adında bir sanal gerçeklik projesi yaptı.
											Her Pazar abonesine 
gazeteleriyle birlikte
											bir milyon Google Cardboard gönderdi.
											Ama o Pazar sabahı komik bir şey oldu.
											Posta adresinde adı olan alıcılar
											dışındaki bir sürü kişi onları aldı.
											Bunları Instagram'da görmeye başladık.
											Tanıdık geliyor mu?
									","
											Jeder auf der Erde sollte erleben,
											was Sie gerade erlebt haben.
											Auf diese Weise können wir
es gemeinsam gestalten,
											nicht als Technik-Plattform,
											sondern als Menschheits-Plattform.
											Im November letzten Jahres
starteten zu diesem Zweck
											die New York Times und Vrse
ein VR-Projekt namens ""The Displaced"".
											Es begann mit einer Million Google-Karten,
											die jedem Sonntagsabonnenten
mit der Zeitung zugestellt wurden.
											Aber an jenem Sonntag
passierte etwas lustiges.
											Viele Menschen erhielten sie,
											die nicht die vorgesehenen Empfänger
auf dem Adressaufkleber waren.
											Wir begannen das alles
auf Instagram zu sehen.
											Erscheint das vertraut?
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											La musique m'a mené sur une voie
											à la recherche de l'inatteignable
											pendant très longtemps.
											De nombreux enfants sont passés
par la même expérience formatrice
											durant leur enfance
											que celle que j'ai vécue.
											Mais je pense que cette expérience
											va au-delà.
											Nous verrons
											où cela
											les mènera.
									","
											Music led me on a path
											of searching for what seemed
like the unattainable
											for a very long time.
											Now, millions of kids just had
the same formative experience
											in their childhood
											that I had in mine.
											Only I think this one
											surpasses it.
											Let's see
											where this
											leads them.
									","
											A música conduziu-me
por um caminho de procura
											do que parecia ser inatingível
											durante muito tempo.
											Agora, milhões de miúdos acabaram de ter
a mesma experiência formativa
											na sua infância
											que eu tive na minha.
											Só que eu penso que esta a ultrapassa.
											Vamos ver
											aonde isto
											os vai conduzir.
									","
											Müzik çok uzun süre
											bana ulaşılmaz gibi gelen şeyi
											aramak için yol açtı.
											Şimdi milyonlarca çocuk,
çocukluklarında benimki
											gibi geliştirici bir deneyime
											sahip olmuş oldu.
											Bence sadece bu
											onu gölgede bırakıyor.
											Görelim,
											bu onları
											nereye götürecek.
									","
											Musik hat mich auf diesen Pfad geführt,
											etwas zu suchen, was lange Zeit
unerreichbar erschien.
											Millionen von Kindern hatten
die gleiche prägende Erfahrung
											in ihrer Kindheit,
											die ich in meiner hatte.
											Ich denke nur,
											dass dieses es übertrifft.
											Schauen wir
											wohin
											das führt.
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											Merci.
									","
											Thank you.
									","
											Obrigado.
									","
											Teşekkürler.
									","
											Danke.
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											(Applaudissements)
									","
											(Applause)
									","
											(Aplausos)
									","
											(Alkış)
									","
											(Applaus)
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
