en,tr,pt,fr,es,de,title,speaker,duration,tags
"
											When is a visual cliché good or bad?
											It's a fine line.
											And it really depends on the story.
											In 2011, during the earthquake
and the tsunami in Japan,
											I was thinking of a cover.
											And I went through the classic symbols:
											the Japanese flag,
											""The Great Wave"" by Hokusai,
one of the greatest drawings ever.
											And then the story changed
											when the situation at the power plant
in Fukushima got out of hand.
											And I remember these TV images
of the workers in hazmat suits,
											just walking through the site,
											and what struck me
was how quiet and serene it was.
											And so I wanted to create an image
of a silent catastrophe.
											And that's the image I came up with.
									","
											Görsel bir klişe ne zaman iyi veya kötü?
											Arada çok ince bir çizgi var.
											Ve gerçekten de hikâyeye göre değişiyor.
											2011 yılında, Japonya'daki
tsunami ve deprem zamanında
											bir kapak düşünüyordum.
											Klasik sembolleri düşündüm:
											Japon bayrağı,
											gelmiş geçmiş en iyilerden
Hokusai'nin ''The Great Wave'' çizimi.
											Sonra hikâye farklı bir yol aldı
											ve Fukushima'da elektrik santrali
kontrolden çıktı.
											Koruyucu giysi içindeki işçilerin
TV görsellerini hatırlıyorum,
											orada öylece yürüyorlardı,
											dikkatimi çeken şey
sessizlik ve durgunluk oldu.
											Ben de sessiz bir felaketi
anlatan bir görsel yarattım.
											İşte ortaya çıkardığım görsel.
									","
											Quando é que uma visão clichê
é boa ou má?
											É uma linha ténue.
											E isso depende, realmente, da história.
											Em 2011, durante o terramoto
e o ""tsunami"" no Japão,
											estava a pensar numa capa.
											Percorri os símbolos clássicos:
											a bandeira do Japão,
											""A Grande Onda de Kanagawa"" de Hokusai,
um dos melhores desenhos de sempre.
											E aí, a história mudou
											quando a situação das centrais nucleares
em Fukushima ficou fora de controlo.
											Lembro-me das imagens televisivas,
dos trabalhadores, com fatos de proteção,
											a andar pelo local, apenas,
											e impressionou-me o quão silenciosa
e serena era aquela situação.
											Então, eu quis criar a imagem
de uma catástrofe silenciosa.
											E foi isto o que consegui.
									","
											Quand est-ce qu'un cliché
visuel est bon ou mauvais ?
											L'équilibre est fragile.
											Et ça dépend vraiment du fil narratif.
											En 2011, au moment du tremblement
de terre et du tsunami au Japon,
											je réfléchissais à une couverture.
											Je passais en revue
les symboles classiques :
											le drapeau japonais,
											« La Grande Vague » de Hokusai,
un des plus merveilleux dessins.
											Et puis le fil narratif a changé :
											la situation à la centrale électrique
de Fukushima est devenue incontrôlable.
											Je me souviens des images à la télé
des travailleurs en combinaison Hazmat
											qui marchaient à travers le site.
											J'ai été frappé par le calme
et la sérénité de la scène.
											J'ai donc voulu créer une illustration
d'une catastrophe silencieuse.
											Et voilà l'image que j'ai créée.
									","
											¿Cuándo un cliché visual es bueno o malo?
											Es una línea muy delgada.
											Y realmente depende de la historia.
											En el 2011, durante el terremoto
y el tsunami en Japón,
											pensaba en una carátula.
											Y pensé en todos los símbolos clásicos:
											la bandera de Japón,
											""La gran ola"" de Hokusai, una de
las mejores ilustraciones que existe.
											Y luego la historia cambió
											cuando perdieron el control de 
la situación en la planta de Fukushima.
											Recuerdo estas imágenes en la tele
de los trabajadores en los trajes hazmat
											caminando hacia el sitio,
											y lo que me sorprendió fue lo silencioso
y lo sereno que se veía.
											Así que quise crear la imagen
de una catástrofe silenciosa.
											Esta fue la imagen que se me ocurrió.
									","
											Wann ist ein visuelles Klischee
gut oder schlecht?
											Das ist eine Gratwanderung.
											Das kommt wirklich auf die Geschichte an.
											2011 beim Erdbeben und Tsunami in Japan
											habe ich über das Titelblatt nachgedacht.
											Ich habe klassische Symbole ausprobiert:
											die japanische Flagge,
											""Die große Welle"" von Hokusai,
eines der besten Gemälde aller Zeiten.
											Und dann änderte sich die Gechichte,
											als die Situation im AKW in Fukushima
außer Kontrolle geraten war.
											Ich erinnere mich an die Fernsehbilder
von den Arbeitern in Schutzanzügen,
											wie sie über das Gelände gingen,
											und mich erstaunte,
wie leise und gelassen alles war.
											Daher wollte ich das Bild
der stummen Katastrophe schaffen.
											Und das ist das Bild,
das ich mir ausgedacht habe.
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											(Applause)
									","
											(Alkışlar)
									","
											(Aplausos)
									","
											(Applaudissements)
									","
											(Aplausos)
									","
											(Applaus)
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											Thank you.
									","
											Teşekkürler.
									","
											Obrigado.
									","
											Merci.
									","
											Gracias.
									","
											Danke.
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											(Applause)
									","
											(Alkışlar)
									","
											(Aplausos)
									","
											(Applaudissements)
									","
											(Aplausos)
									","
											(Applaus)
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											What I want to do is create
an aha moment, for you, for the reader.
											And unfortunately, that does not mean
											that I have an aha moment
when I create these images.
											I never sit at my desk
											with the proverbial light bulb
going off in my head.
											What it takes is actually a very slow,
											unsexy process of minimal design decisions
											that then, when I'm lucky,
lead to a good idea.
									","
											Yapmak istediğim şey, okuyucuların
işte bu diyebileceği bir an yaratmak.
											Bu da ne yazık ki bu görselleri yaratırken
											benim de işte bu
dediğim anlamına gelmiyor.
											Masamda otururken
											o mecazi ampül hiçbir zaman
kafamın içinde yanmıyor.
											Bu aslında çok yavaş
ve çekici olmayan bir süreç,
											minimal tasarım kararlarıyla dolu,
											şanslı günümdeysem
bu beni iyi bir fikre yönlendiriyor.
									","
											O que queria criar era um momento
""Aha"" para vocês, para o leitor.
											Mas, infelizmente, isso não significa
											que tive esse momento ""aha""
quando criei aquelas imagens.
											Nunca me sentei à minha mesa
											com uma proverbial lâmpada acesa
a sair da minha cabeça.
											Na verdade, é necessário desenrolar-se
com muita lentidão
											um processo complicado e nada atraente 
de decisões minimalistas
											e, só então, quando tenho sorte,
surge uma boa ideia.
									","
											Mon objectif est de susciter
un moment de révélation chez le lecteur.
											Malheureusement, cela ne veut pas dire
											que j'ai ces révélations
quand je crée mes images.
											Je ne suis jamais assis à mon bureau
											avec l'ampoule proverbiale
qui se déclenche au-dessus de ma tête.
											Ça exige en fait un processus très lent,
											pas sexy du tout, de décisions
de conception minimale,
											qui, quand j'ai de la chance,
me mène à une bonne idée.
									","
											Lo que quiero crear es un ""Eureka""
para Uds., para los lectores.
											Desafortunadamente, eso no quiere decir
											que me dé un ""Eureka""
cuando creo estas ilustraciones.
											No estoy en el escritorio
											con esa famosa bombilla
que se me prende en la cabeza.
											Lo que de hecho ocurre es 
un proceso muy lento,
											poco atractivo, de decisiones
de diseño mínimas
											que luego, con suerte,
me conducen a una buena idea.
									","
											Ich wollte ein Aha-Erlebnis schaffen.
											Das heißt leider nicht,
											dass ich ein Aha-Erlebnis habe,
wenn ich diese Bilder erschaffe.
											Ich sitze nie an meinem Tisch
											mit der sprichwörtlichen Glühbirne,
die in meinem Kopf angeht.
											Eigentlich braucht man
einen sehr langsamen,
											unsexy Prozess
an kleinsten Entwurfsentscheidungen,
											die dann, wenn ich Glück habe,
zu einer guten Idee führen.
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											So one day, I'm on a train,
and I'm trying to decode
											the graphic rules for drops on a window.
											And eventually I realize,
											""Oh, it's the background
blurry upside-down,
											contained in a sharp image.""
											And I thought, wow, that's really cool,
											and I have absolutely no idea
what to do with that.
											A while later, I'm back in New York,
											and I draw this image of being stuck
on the Brooklyn bridge in a traffic jam.
											It's really annoying,
but also kind of poetic.
											And only later I realized,
											I can take both of these ideas
and put them together in this idea.
											And what I want to do
is not show a realistic scene.
									","
											Bir gün trende
penceredeki damlalara yönelik
											grafik kurallarını çözmeye çalışıyordum.
											Sonra fark ettim ki
											''Arka plan bulanık ve ters yüz olmuş,
											keskin bir görsel içinde.''
											Sonra bu harika diye düşündüm
											ve bunu nasıl kullanacağım hakkında
hiçbir fikrim yoktu.
											Bir süre sonra New York'a döndüm
											ve Brooklyn köprüsünde trafikte kalmayı
anlatan bu görseli yaptım.
											Gerçekten sinir bozucu
ama aynı zamanda şiirsel.
											Daha sonra fark ettim ki
											her iki fikri de alıp
tek fikirde birleştirebilirim.
											Realistik bir sahne göstermek istemiyorum.
									","
											Um dia, estava no comboio
a tentar descodificar
											as regras gráficas das gotas numa janela.
											E eventualmente, percebi:
											""Oh, é o fundo pouco nítido
de cabeça para baixo,
											""formando uma imagem nítida"".
											Pensei: ""Uau, isto é mesmo giro,
											""e não tenho nenhuma ideia
do que fazer com isso.""
											Passado um tempo, voltei 
para Nova Iorque,
											e desenhei esta imagem, de estar preso na 
ponte do Brooklyn num engarrafamento.
											É muito incómodo,
mas também um pouco poético.
											E só depois é que percebi
											que poderia pegar em ambas as ideias
e colocá-las juntas nesta ideia.
											O que queria fazer
não era mostrar uma cena realística.
									","
											Un jour, je suis dans le train,
et j'essaie de déchiffrer
											les règles graphiques
pour les gouttes d'eau sur la fenêtre.
											Finalement, je me suis rendu compte que,
											« Ah, c'est l'arrière-plan
qui est flou mais à l'envers,
											contenu dans une image nette. »
											Et je pensais, waouh,
c'est vraiment cool ça,
											mais qu'est-ce que je vais bien
pouvoir faire de cette idée ?
											Un peu plus tard, de retour à New York,
											je dessine une image sur l'effet d'être
dans un bouchon sur le pont de Brooklyn.
											C'est vraiment agaçant,
tout étant un peu poétique.
											Et c'est plus tard que je me suis aperçu
											que je peux prendre ces deux idées
et les superposer en une seule image.
											Je ne cherche pas à montrer
une scène réaliste.
									","
											Un día, en el tren, intentaba descodificar
											las reglas gráficas de las gotas
en una ventana.
											Finalmente, me di cuenta,
											""Ah, es el fondo borroso al revés
											dentro de una imagen nítida"".
											Pensé, guao, qué interesante,
											pero no tenía idea de qué hacer con eso.
											Más tarde, de vuelta a Nueva York,
											hice esta ilustración de estar estancado
en el tráfico en el puente de Brooklyn.
											Es muy molesto, pero
también un tanto poético.
											Más tarde me di cuenta
											de que podía tomar estas dos ideas
y combinarlas en esta idea.
											Lo que quiero no es mostrar
una imagen realista.
									","
											Eines Tages war ich im Zug
und versuchte, etwas zu entziffern:
											grafische Regeln für Tropfen am Fenster.
											Und endlich begreife ich:
											""Es ist das Veschwommene
und Umgedrehte im Hintergrund
											in einem scharfen Bild.""
											Ich dachte, wow, das ist echt cool,
											ich hatte echt keine Ahnung, 
was ich damit anfangen soll.
											Bald darauf, zurück in New York,
											zeichnete ich das Bild, wo man
im Stau auf der Brooklyn Bridge steht.
											Das ist wirklich nervig,
aber auch irgendwie poetisch.
											Erst später habe ich begriffen,
											ich kann beide Gedanken nehmen
und sie in Verbindung bringen.
											Ich will keine realistische Szene zeigen.
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											But, maybe like poetry,
											make you aware that you
already had this image with you,
											but only now I've unearthed it
											and made you realize that you
were carrying it with you all along.
											But like poetry,
this is a very delicate process
											that is neither efficient
nor scalable, I think.
											And maybe the most
important skill for an artist
											is really empathy.
											You need craft and you need —
									","
											Daha çok şiir gibi olmalı,
											bu görsele sizin de aşina olduğunuzun
farkına varmanızı sağlayacak
											ama bunu ortaya ben çıkarmış olacağım
											ve sizin de hayatınızda olduğunu
size hissettirecek.
											Ancak şiir gibi,
bu çok narin bir süreç,
											diyebilirim ki ne çok etkili
ne de ölçeklendirilebilir.
											Ancak belki de ressam için
en önemli yetenek
											empati kurabilmesi.
											El ustalığı gerek ve ayrıca...
									","
											Mas, talvez como a poesia,
											fazer-vos perceber
que já tinham esta imagem,
											mas apenas agora
eu a desenterrara,
											fazendo-vos perceber
que esteve sempre com vocês.
											Mas, assim como a poesia, 
este é um processo muito delicado
											nem eficiente, nem escalável, acho eu.
											E, talvez, a competência mais importante
para um artista
											seja a verdadeira empatia.
											Precisamos de artesanato e precisamos...
									","
											Mais, un peu comme de la poésie,
											elle vous fait prendre conscience
que vous aviez cette image en vous,
											et que je n'ai fait que l'évoquer,
											et vous pousser à réaliser qu'elle faisait
partie de vous depuis tout ce temps.
											Mais, comme la poésie,
c'est un processus très délicat
											qui n'est ni efficace
ni modulable, je suppose.
											Sans doute que la compétence
la plus importante pour un artiste,
											c'est vraiment l'empathie.
											Vous avez besoin de votre art et de —
									","
											Pero, quizás como la poesía,
											hacerlos conscientes de que
tienen esta imagen con Uds.,
											que lo he desenterrado
											y he logrado que se den cuenta de
que llevaban consigo esta imagen.
											Pero como la poesía,
es un proceso delicado
											y no creo que sea eficiente o escalable.
											Quizás la habilidad
más importante para un artista
											sea realmente la empatía.
											Necesitas un conocer tu arte...
									","
											Sondern vielleicht so wie Poesie
											einem bewusst macht,
dass man das Bild schon kennt,
											aber mir erst jetzt bewusst wird,
											dass ich es schon die ganze Zeit
in mir getragen hatte.
											Aber wie Poesie
war das ein heikler Prozess,
											der weder effizient noch skalierbar ist.
											Und vielleicht ist die wichtigste
Fertigkeit für Künstler
											Einfühlungsvermögen.
											Man braucht Geschick und —
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											you need creativity —
									","
											yaratıcılık gerek...
									","
											precisamos de criatividade...
									","
											et vous avez besoin de créativité —
									","
											creatividad...
									","
											man braucht Kreativität —
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											thank you —
											to come up with an image like that.
											But then you need to step back
											and look at what you've done
from the perspective of the reader.
									","
											teşekkürler...
											ki böyle bir görsel yapabilelim.
											Ayrıca genellikle bir adım geri çekilip
											yaptığınız çalışmaya okuyucunun
bakış açısıyla bakmanız lazım.
									","
											Obrigado.
											para chegar a uma imagem assim.
											Mas depois,
é necessário dar um passo atrás,
											para olhar tudo o que fizemos
da perspetiva do leitor.
									","
											merci —
											pour imaginer une image comme cela.
											Mais ensuite, il faut prendre du recul
											et regarder votre travail
du point de vue du lecteur.
									","
											—gracias—
											para que se te ocurran ideas como esta.
											Pero luego te tienes que distanciar
											y mirar lo que has creado 
desde la perspectiva del lector.
									","
											danke —
											um ein solches Bild zu schaffen.
											Dann muss man einen Schritt zurücktreten
											und das, was man geschaffen hat,
aus der Perspektive des Lesers ansehen.
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											I've tried to become a better artist
by becoming a better observer of images.
											And for that, I started
an exercise for myself
											which I call Sunday sketching,
											which meant, on a Sunday, I would take
a random object I found around the house
											and try to see if that object
could trigger an idea
											that had nothing to do
with the original purpose of that item.
											And it usually just means
I'm blank for a long while.
											And the only trick that eventually works
is if I open my mind
											and run through every image
I have stored up there,
											and see if something clicks.
											And if it does, just add
a few lines of ink to connect —
											to preserve this very short
moment of inspiration.
									","
											Görselleri daha iyi gözlemleyerek
daha iyi bir ressam olmaya çalışıyorum.
											Bunun için de Pazar çizimi dediğim
											bir alıştırmaya başladım,
											yani Pazar günleri evin içinde
rastgele bulduğum bir eşyayı alıp
											eşyanın asıl amacıyla
hiçbir ilgisi olmayan
											bir fikri uyandırabileceğini
görmeye çalışırım.
											Bu da uzun bir süre
durgun kaldığım anlamına geliyor.
											Sonunda zihnimi açan şey,
											topladığım her görseli gözden geçirmek
											ve bir bağlantı yakalamak.
											Yakalarsam, sadece birkaç damla
mürekkep kullanmam yeterli,
											böylelikle bu kısa ilham anını
saklayabiliyorum.
									","
											Tentei ser um artista melhor,
											tornando-me melhor observador de imagens.
											E para isso, comecei a exercitar-me
											com o que chamo de esboços de domingo,
											o que significa que, ao domingo,
pegava num objeto qualquer em casa
											e tentava ver se aquele objeto
poderia desencadear uma ideia
											que nada tinha a ver
com o propósito original daquele objeto.
											Normalmente isto só significa
que fico em branco bastante tempo.
											O único truque que funciona,
é eu abrir a minha mente
											e percorrer cada imagem
armazenada,
											e ver se se faz luz.
											Se se fizer luz, adiciono algumas
linhas de tinta para ligar...
											para preservar esse breve
momento de inspiração.
									","
											J'essaie de devenir un artiste meilleur
en devenant un meilleur observateur.
											Pour cela, j'ai commencé
à faire un exercice
											que j'appelle « dessiner le dimanche ».
											C'est-à-dire que le dimanche, je prends
un objet au hasard dans la maison
											et j'essaie de voir si cet objet
va déclencher une idée
											qui n'a rien à voir
avec l'usage original de celui-ci.
											Souvent, ça veut dire que je reste devant
une page blanche un certain temps.
											Finalement l'astuce qui marche,
c'est ouvrir mon esprit,
											et passer en revue chaque image
que j'ai entreposée,
											et voir si ça déclenche quelque chose.
											Si c'est le cas, j'ajoute
quelques lignes d'encre pour connecter —
											pour préserver ce très court
moment d'inspiration.
									","
											Trato de llegar a ser un mejor artista
siendo un mejor observador de imágenes.
											Para ello, comencé un ejercicio
											que llamo ilustraciones del domingo,
											que quiere decir que los domingos, tomo
cualquier objeto de la casa
											y trato de ver si el objeto
me genera una idea
											que no tiene nada que ver
con el propósito original del objeto.
											Usualmente, me quedo
en blanco por un buen rato.
											El único truco que eventualmente
funciona es si abro mi mente
											y reviso todas las imágenes
que tengo guardadas allí
											para ver si algo encaja.
											Si eso ocurre, solo agrego unas
cuantas líneas de tinta para conectar...
											para preservar este breve
momento de inspiración.
									","
											Ich habe versucht, besser zu werden, indem
ich besser im Ansehen der Bilder wurde.
											Daher habe ich angefangen,
ewas für mich selbst zu üben,
											das ich Sontagskizzieren nenne,
											d. h., sonntags wählte ich zufällig
etwas, das ich im Haus fand,
											und versuche zu erkennen, 
ob das Ding eine Idee auslöst,
											die nichts mit dem ursprünglichem
Zweck zu tun hatte.
											In meinem Kopf ist es eine Weile leer.
											Der einzige Trick, der funktioniert, ist,
wenn ich den Verstand öffne
											und jedes Bild durchspiele, 
das ich hier gespeichert habe,
											und sehe, ob mich etwas anspricht.
											Wenn ja, verbinde ich es
nur mit ein paar Tintenlinien —
											um diesen kurzen Einfall einzuprägen.
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											And the great lesson there
											was that the real magic
doesn't happen on paper.
											It happens in the mind of the viewer.
											When your expectations and your knowledge
clash with my artistic intentions.
											Your interaction with an image,
											your ability to read, question,
be bothered or bored or inspired
											by an image
											is as important
as my artistic contribution.
											Because that's what turns
an artistic statement
											really, into a creative dialogue.
											And so, your skill at reading images
											is not only amazing,
											it is what makes my art possible.
											And for that, I thank you very much.
									","
											Buradan çıkarılacak büyük ders şu,
											asıl sihir kağıt üzerinde olmuyor.
											Asıl sihir okuyucunun
zihninde gerçekleşiyor.
											Sizin beklenti ve bilgileriniz
benim sanatsal niyetimle birleşiyor.
											Sizin bir görselle olan etkileşiminiz,
											bir görseli okuma, sorgulama,
ondan rahatsız olma
											veya ondan ilham alma yeteneğiniz
											benim sanatsal katkım kadar önemli.
											Çünkü sanatsal bir ifadeyi
											yaratıcı bir diyaloğa dönüştüren şey bu.
											Bu yüzden görselleri okuma yeteneğiniz
											sadece harika değil,
											aynı zamanda benim sanatımı
mümkün kılan şey.
											Bunun için size çok teşekkür ederim.
									","
											A grande lição a retirar
											é que a verdadeira magia
não acontece no papel.
											Acontece na mente de quem vê.
											Quando as vossas expectativas
e conhecimento
											entram em conflito
com as minhas intenções artísticas.
											A vossa interação com uma imagem,
											a vossa capacidade de lerem,
de questionarem,
											de se incomodarem, de se entediarem
ou de se inspirarem
											por causa de uma imagem
											é tão importante como
a minha contribuição enquanto artista.
											Porque é isso que transforma
uma afirmação artística
											num diálogo criativo.
											Por isso, a vossa capacidade
de ler imagens
											é, não somente incrível,
											como faz a minha arte possível.
											E por isso, o meu muito obrigado.
									","
											C'est ça, la morale de l'histoire :
											la vraie magie n'a pas lieu sur papier.
											Elle a lieu dans l'esprit du spectateur.
											Quand vos attentes et vos connaissances
télescopent mes intentions artistiques.
											Votre interaction avec une image,
											votre capacité à la lire, à douter,
à être dérangé, ennuyé ou inspiré
											par une image
											est aussi importante que
ma contribution artistique.
											Car c'est exactement ça qui transforme
un acte artistique
											en un véritable dialogue créatif.
											Par conséquent, votre compétence
pour lire les images
											n'est pas uniquement impressionnante,
											mais c'est elle qui rend mon art possible.
											Et pour cela, je vous remercie beaucoup.
									","
											La mayor lección
											es que la magia realmente
no ocurre en el papel.
											Ocurre en la mente del lector.
											Cuando tus expectativas y tu conocimiento
chocan con mis intenciones artísticas.
											Su interacción con una imagen,
											su habilidad para leer, cuestionar,
molestarse, aburrirse o inspirarse
											gracias a una imagen
											es tan importante como
mi contribución artística.
											Porque eso es lo que transforma
una declaración artística
											en un verdadero diálogo creativo.
											Así que su habilidad 
para leer las imágenes
											no es solo increíble,
											es lo que hace que mi arte sea posible.
											Y por eso, les doy las gracias.
									","
											Die größte Lehre ist:
											Der wahre Zauber findet
nicht auf dem Papier statt,
											sondern ensteht im Kopf des Betrachters.
											Wenn Ihre Erwartungen und Wissen auf
meine künstlerischen Absichten prallen.
											Ihre Interaktion mit der Zeichnung,
											Ihre Fähigkeit, zu lesen, zu hinterfragen,
gelangweilt oder inspiriert zu sein
											durch eine Zeichnung
											ist genauso wichtig
wie mein künstlerischer Beitrag.
											Denn das macht eine künstlerische Aussage
											zu einem kreativen Dialog.
											Ihre Fertigkeit, Bilder zu lesen
											ist nicht nur umwerfend.
											Das ist es, was meine Kunst ermöglicht.
											Dafür bedanke ich mich bei Ihnen.
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											(Applause)
									","
											(Alkışlar)
									","
											(Aplausos)
									","
											(Applaudissements)
									","
											(Aplausos)
									","
											(Applaus)
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											(Cheers)
									","
											(Tezahüratlar)
									","
											(Gritos)
											(Aplausos)
									","
											(Acclamations)
									","
											(Vítores)
									","
											(Jubel)
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											Thank you.
									","
											Teşekkürler.
									","
											Obrigado.
									","
											Merci.
									","
											Gracias.
									","
											Danke.
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											(Applause)
									","
											(Alkışlar)
									","
											(Aplausos)
									","
											(Applaudissements)
									","
											(Risas)
									","
											(Applaus)
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
