en,pt,de,fr,tr,es,title,speaker,duration,tags
"
											As a starting point,
my brilliant students,
											Edmond Awad and Sohan Dsouza,
											built the Moral Machine website,
											which generates random scenarios at you —
											basically a bunch
of random dilemmas in a sequence
											where you have to choose what
the car should do in a given scenario.
											And we vary the ages and even
the species of the different victims.
											So far we've collected
over five million decisions
											by over one million people worldwide
											from the website.
											And this is helping us
form an early picture
											of what trade-offs
people are comfortable with
											and what matters to them —
											even across cultures.
											But more importantly,
											doing this exercise
is helping people recognize
											the difficulty of making those choices
											and that the regulators
are tasked with impossible choices.
											And maybe this will help us as a society
understand the kinds of trade-offs
											that will be implemented
ultimately in regulation.
									","
											Como ponto de partida, 
os meus brilhantes alunos,
											Edmond Awad e Sohan Dsouza,
											criaram o site ""Moral Machine"",
											que gera cenários aleatórios
											— basicamente, um monte
de dilemas aleatórios
											em que vocês têm que escolher
											o que um carro deve fazer
num determinado cenário.
											E vamos mudando as idades
e as espécies das diversas vítimas.
											Até agora, recolhemos 
mais de cinco milhões de respostas
											de mais de 1 milhão de pessoas,
a nível mundial,
											através desse site.
											Isto está a ajudar-nos
a formar um quadro inicial
											do tipo de decisões que 
as pessoas acham adequadas
											e o que é importante para elas,
											mesmo noutras culturas.
											Mas mais importante,
											fazer este exercício ajuda as pessoas
											a reconhecer a dificuldade
de fazer aquelas escolhas
											e que a entidade reguladora está
incumbida de fazer escolhas impossíveis.
											Enquanto sociedade, talvez isto nos 
ajude a perceber que tipos de decisões
											deverão ser implementadas 
na regulamentação.
									","
											Als Grundlage haben
meine brillanten Studenten,
											Edmong Awad und Sohan Dsouza,
											die Moral Machine Website gebaut,
											die eine Reihe von Szenarien vorgibt,
											eine Reihe von zufälligen
Dilemmas in Folge,
											bei denen Sie bestimmen müssen,
wie das Auto reagiert.
											Wir verändern das Alter und sogar
die Spezies der verschiedenen Opfer.
											Bisher haben wir 
über fünf Millionen Entscheidungen
											von über einer Million Menschen weltweit
											mit der Webseite erhoben.
											Und das hilft uns dabei,
von Anfang an zu verstehen,
											mit welchen Kompromissen
die Menschen leben können
											und was ihnen wichtig ist –
											sogar kulturübergreifend.
											Das Wichtigste ist jedoch,
											dass diese Übung dabei hilft,
zu verstehen,
											wie schwierig es ist,
diese Entscheidungen zu treffen,
											und dass Regulatoren vor
unmöglichen Entscheidungen stehen.
											Und vielleicht hilft es
der Gesellschaft zu verstehen,
											welche Abwägungen letztendlich
in Vorschriften enthalten sind.
									","
											Pour commencer, mes brillants étudiants,
											Edmond Awad et Sohan De Souza
											ont créé le site Moral Machine;
											celui-ci génère des scénarios aléatoires—
											une série de dilemmes à la chaîne
											où vous devez choisir ce que ferait 
la voiture dans ces cas.
											Nous varions les âges et la nature 
des différentes victimes.
											Jusqu'à présent, nous avons récolté
plus de 5 millions de décisions
											prises par plus d'un million de gens
											depuis le site internet.
											Ceci nous aide à avoir une idée
											de quels compromis les gens sont prêts
à accepter
											et ce qui compte pour eux—
											même à travers les cultures.
											Mais surtout,
											ces exercices aident les gens
à reconnaître
											la difficulté que représente le fait
de faire un choix
											et que les lesgilateurs sont confrontés
à des choix impossibles.
											Peut-être que ceci nous aidera
à comprendre, en tant que société,
											quels compromis seront mis en place
dans la loi.
									","
											Başlangıç noktası olarak,
benim parlak öğrencilerim
											Edmond Awad ve Sohan Dsouza,
											Ahlak Makinesi internet sitesini kurdu.
											Bu site size rastgele senaryolar sunuyor,
											bir dizi ikilemler yöneltiyor
											ve verilen bu senaryoda, arabanın ne
yapması gerektiğine karar veriyorsun.
											Yaşları ve hatta farklı kurbanların
türlerini bile çeşitlendirdik.
											Şu ana kadar, site üzerinden
dünya genelinde
											bir milyonu aşkın insan tarafından
beş milyonun üzerinde
											karar topladık.
											Bu bulgular, kültürler arası bile
											insanların neleri feda edebileceklerini
											ve onlar için
önem arz eden şeyleri anlayıp
											bir temel oluşturmamızda yardımcı oluyor.
											Ama daha önemlisi,
											bu araştırma insanlara,
bu seçimleri yapmanın
											ne kadar zor olduğunu
											ve yasal düzenlemelerin, imkânsız
seçimler ile çevrelendiğini hatırlatıyor.
											Bu belki de toplum olarak,
nihayetinde yasalara işlenecek türde
											risk oranı tahlilini
anlamamıza yardımcı olabilir.
									","
											Como punto de partida,
mis brillantes alumnos,
											Edmond Awad y Sohan Dsouza,
											construyeron el sitio web Moral Machine,
											que genera y presenta
situaciones hipotéticas al azar;
											es básicamente una secuencia
aleatoria de dilemas
											donde tienes que elegir
qué debería hacer el auto en cada caso.
											Y variamos las edades y hasta las especies
de las distintas víctimas.
											Hasta ahora hemos recolectado
más de 5 millones de decisiones,
											de más de un millón de personas
en todo el mundo
											a través del sitio web.
											Esto nos está ayudando
a pintar un panorama inicial
											de las concesiones
que la gente está dispuesta a hacer
											y de qué es lo que les importa,
											incluso en distintas culturas.
											Pero, lo que es más importante,
											este ejercicio está ayudando
a la gente a comprender
											lo difícil que es tomar esas decisiones,
											y que los organismos reguladores
se enfrentan con decisiones imposibles.
											Y tal vez esto nos ayude, como sociedad,
a entender el tipo de concesiones
											que se van a implementar,
en última instancia, como normativa.
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
											And indeed, I was very happy to hear
											that the first set of regulations
											that came from
the Department of Transport —
											announced last week —
											included a 15-point checklist
for all carmakers to provide,
											and number 14 was ethical consideration —
											how are you going to deal with that.
											We also have people
reflect on their own decisions
											by giving them summaries
of what they chose.
											I'll give you one example —
											I'm just going to warn you
that this is not your typical example,
											your typical user.
											This is the most sacrificed and the most
saved character for this person.
									","
											Fiquei bastante feliz ao ouvir
											que o primeiro conjunto de regulamentações
											anunciado pelo Departamento de Transporte,
na semana passada,
											inclui uma lista de 15 pontos
											que todos os fabricantes
de automóveis devem fornecer.
											O número 14 foi uma reflexão ética
											sobre como a pessoa vai lidar com isso.
											Nós fazemos as pessoas 
refletir nas suas decisões
											ao dar-lhes uma síntese do que escolheram.
											Vou dar-vos um exemplo
											e desde já vos aviso que este não é 
o exemplo de um utilizador habitual.
											Estas são a personagem mais sacrificada 
e a mais salvo para esta pessoa.
									","
											Und ich war glücklich zu hören,
											dass die erste Reihe von Vorschriften
											vom Verkehrsministerium,
											wie letzte Woche angekündigt,
											eine 15-Punkte-Checkliste
für alle Autohersteller enthielten
											und Nummer 14 waren moralische Bedenken
											und wie man mit diesen umgeht.
											Wir haben Menschen
ihre Angaben reflektieren lassen,
											indem wir ihnen eine Zusammenfassung
ihrer Entscheidung gaben.
											Hier ist ein Beispiel.
											Ich muss Sie nur vorher warnen,
dies ist kein typisches Beispiel,
											kein typischer Nutzer.
											Dies ist der am meisten geopferte und
der am meisten geschützte Charakter.
									","
											En effet, j'ai été très heureux
											d'entendre que la première série
											venue du Département des Transports—
											annoncée la semaine dernière
											a inclus une liste de 15 points à remplir
par tous les fabricants de voitures.
											Le numéro 14 était la consideration 
éthique —
											comment allez-vous gérer ça ?
											Ces personnes peuvent aussi réfléchir
à leurs décisions
											en recevant des résumés à propos
de leurs choix.
											Je vais vous donner un exemple —
											je vous avertis juste que ceci n'est pas
un exemple typique,
											ni un utilisateur typique.
											Voici ce que la personne a sauvé
et a tué le plus.
									","
											Geçtiğimiz hafta,
											Ulaştırma Bakanlığı tarafından yapılan
											ilk yasal düzenlemelerden
											haberdar olduğuma çok sevindim.
											Tüm araba üreticilerinin sağlaması gereken
15 maddelik bir kontrol listesine sahip
											ve 14. madde işin
ahlaki boyutu ile alakalıydı,
											bu sorumluluğu
nasıl taşıyabileceğimizle alakalıydı.
											İnsanlara, seçimlerinin sonuçlarını
özet şeklinde sunarak
											kendi kararlarının getirilerini gösterdik.
											Sizlere bir örnek vereceğim.
											Belirtmeliyim ki bu genel bir örnek,
											genel bir kullanıcı değil.
											Bu kişi için en çok kurtarılan (kedi)
ve feda edilen (bebek) görüldüğü gibi.
									","
											Me alegré mucho cuando me enteré
											de que el primer conjunto de regulaciones
											que publicó el Departamento de Transporte
											la semana pasada
											incluye una lista de 15 ítems
que deben presentar los fabricantes,
											y el número 14
es ""consideraciones éticas"";
											cómo van a manejar ese tema.
											En el sitio, la gente también
puede reflexionar sobre sus decisiones
											al recibir un resumen
de las opciones que eligieron.
											Les voy a dar un ejemplo.
											Les advierto que no es un ejemplo típico;
											no es un usuario típico.
											Estos son los individuos que esta persona
más salvó y más sacrificó.
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
											(Laughter)
									","
											(Risos)
									","
											(Lachen)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Risas)
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
											Some of you may agree with him,
											or her, we don't know.
											But this person also seems to slightly
prefer passengers over pedestrians
											in their choices
											and is very happy to punish jaywalking.
									","
											Alguns de vocês podem concordar com ele,
ou com ela — não sabemos.
											Mas esta pessoa preferiu salvar
os passageiros ao invés dos peões
											nas suas escolhas,
											e parece muito feliz por punir
peões que não cumprem a lei.
									","
											Manche mögen seine Meinung teilen
											oder ihre Meinung, wer weiß.
											Diese Person neigt jedoch mehr dazu,
Passagiere über Fußgänger zu stellen
											und bei den Entscheidungen
											verkehrswidriges Verhalten zu bestrafen.
									","
											Certains d'entre vous allez être
											d'accord avec lui ou avec elle.
											Cette personne a aussi l'air de préférer
les passagers aux piétons
											dans ses choix
											et est très heureuse de punir
ceux qui traversent en dehors des clous.
									","
											Bazılarınız bu kişiye katılıyor olabilir,
											bilmiyoruz.
											Bu kişi aynı zamanda seçimlerinde,
yayalara karşın yolcuları daha çok tutuyor
											gibi gözüküyor
											ve kırmızı ışıkta geçenleri
cezalandırmaktan memnuniyet duyuyor.
									","
											Algunos de Uds. estarán de acuerdo con él,
											o ella, no sabemos.
											Esta persona también parece inclinarse
más a favor del pasajero que del peatón,
											según las opciones que escogió,
											y no tiene problema
en castigar al peatón imprudente.
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
											(Laughter)
									","
											(Risos)
									","
											(Lachen)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Risas)
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
											So let's wrap up.
											We started with the question —
let's call it the ethical dilemma —
											of what the car should do
in a specific scenario:
											swerve or stay?
											But then we realized
that the problem was a different one.
											It was the problem of how to get
society to agree on and enforce
											the trade-offs they're comfortable with.
											It's a social dilemma.
									","
											Vamos então, concluir.
											Começámos com a questão
— chamemos-lhe dilema ético —
											sobre o que o carro deverá
fazer num cenário específico:
											desviar-se ou continuar?
											Mas depois apercebemo-nos 
que o problema era outro.
											O problema era sobre como levar 
a sociedade a concordar e a impor
											as decisões que consideram adequadas.
											É um dilema social.
									","
											Fassen wir also zusammen.
											Wir starteten mit der Frage –
wir nennen sie moralisches Dilemma –
											wie sich das Auto in einem
spezifischen Szenario verhalten soll:
											ausweichen oder bleiben?
											Aber dann merkten wir,
dass das Problem ein anderes war.
											Die Frage war, wie man die Gesellschaft
dazu bringt, Kompromisse durchzusetzen,
											mit denen sie sich wohl fühlen.
											Ein soziales Dilemma.
									","
											Résumons.
											Nous avons commencé avec une question —
un dilemme éthique —
											de ce que devrait faire la voiture dans
un scénario précis :
											dévier ou rester ?
											Mais nous avons réalisé que
le problème était autre.
											Le problème était de comment faire pour
que la société accepte et applique
											les compromis qui lui conviennent.
											C'est un dilemme social.
									","
											Konuyu toparlayalım.
											Arabanın belirli bir senaryoda ne
yapması gerektiğini irdeleyen bir soruyla,
											daha doğrusu ahlaki bir ikilemle başladık:
											dönecek mi, kalacak mı?
											Fakat sonra, sorunun farklı
bir şey olduğunu fark ettik.
											Toplum olarak, risk durumunda insanların
nelerden fedakarlık yapabileceklerine
											uzlaşma ve uygulama sorunu.
											Toplumsal bir ikilemden bahsediyoruz.
									","
											Entonces, redondeando.
											Empezamos con la pregunta,
llamémosle dilema ético,
											de qué debería hacer el auto
en una situación específica:
											¿cambiar de dirección o seguir?
											Pero luego nos dimos cuenta
de que el problema es otro.
											El problema es que la sociedad
se ponga de acuerdo
											sobre qué concesiones le son aceptables
y cómo imponerlas.
											Es un dilema social.
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
											In the 1940s, Isaac Asimov
wrote his famous laws of robotics —
											the three laws of robotics.
											A robot may not harm a human being,
											a robot may not disobey a human being,
											and a robot may not allow
itself to come to harm —
											in this order of importance.
											But after 40 years or so
											and after so many stories
pushing these laws to the limit,
											Asimov introduced the zeroth law
											which takes precedence above all,
											and it's that a robot
may not harm humanity as a whole.
											I don't know what this means
in the context of driverless cars
											or any specific situation,
											and I don't know how we can implement it,
											but I think that by recognizing
											that the regulation of driverless cars
is not only a technological problem
											but also a societal cooperation problem,
											I hope that we can at least begin
to ask the right questions.
									","
											Nos anos 40, Isaac Asimov escreveu 
as suas famosas leis da robótica,
											as três leis da robótica.
											Um robô não pode magoar um ser humano,
											um robô não pode desobedecer 
a um ser humano,
											e um robô não se pode 
danificar-se a ele mesmo
											— seguindo esta ordem de importância.
											Mas cerca de 40 anos depois,
											e depois de tantas histórias 
que levavam estas leis ao limite,
											Asimov introduziu a lei zero,
											que as precede a todas,
											aquela em que um robô 
não pode prejudicar a humanidade.
											Eu não sei o que isto significa
no contexto de carros autónomos
											ou em qualquer situação específica,
											e não sei como é que 
podemos implementar isto,
											mas acho que, ao reconhecer
											que a regulamentação dos carros autónomos 
não é apenas um problema tecnológico,
											mas também um problema
de cooperação social,
											espero que possamos começar 
a fazer as questões certas.
									","
											In den 1940ern schrieb Isaac Asimov
die berühmten Robotergesetze –
											die drei Robotergesetze.
											Ein Roboter darf kein
menschliches Wesen verletzen.
											Ein Roboter muss einem Menschen gehorchen.
											Ein Roboter muss 
seine Existenz beschützen.
											In dieser Reihenfolge.
											Aber nach ungefähr 40 Jahren
											und nach so viele Geschichten,
die diese Gesetze an ihre Grenzen bringen,
											entwickelte Asimov das nullte Gesetz,
											das über allen anderen steht.
											Es besagt, dass ein Roboter
die Menschheit nicht verletzen darf.
											Ich weiß nicht, was das in Verbindung
mit fahrerlosen Autos bedeutet
											oder in Verbindung mit anderen Situationen
											und ich weiß nicht,
wie wir es umsetzen können.
											Wenn wir jedoch anerkennen,
											dass die Vorschriften für fahrerlose Autos
nicht nur ein technologisches Problem,
											sondern auch ein gesellschaftliches
Kooperationsproblem sind,
											dann können wir beginnen,
die richtigen Fragen zu stellen.
									","
											Dans les années 1940, Isaac Asimov a écrit
sa célèbre loi de la robotique —
											les trois règles de la robotique.
											Un robot ne nuira pas à un être humain,
											un robot ne désobéira pas
											et il ne s'autorisera pas
à faire au mal —
											dans cet ordre d'importance.
											Mais environ 40 ans plus tard
											et après tellement de scénarios qui ont
testé ces règles,
											Asimov a présenté la loi Zéro
											qui a préséance avant tout.
											Un robot ne devrait pas nuire
à l'Humanité.
											Je ne sais pas ce que cela représente dans
le cas des voitures sans conducteur
											ou dans une situation spécifique,
											et je ne sais pas comment
la mettre en œuvre ;
											mais en admettant que
											la législation de ces voitures n'est pas 
uniquement un problème technique
											mais aussi un problème de coopération
sociétale, j'espère que
											nous puissions au moins nous poser
les bonnes questions.
									","
											1940'larda, Isaac Asimov
o meşhur Üç Robot Yasasını
											kaleme aldı.
											Robot, bir insana zarar veremez,
											robot bir insana itaatsizlik edemez
											ve robot kendisini gelecek zararlardan
korumakla yükümlüdür,
											bu önem sırasına göre.
											40 yıl kadar sonra,
											bu yasaların sınırlarını zorlayan
birçok hikâyenin ardından Asimov,
											diğer bütün yasalara üstünlük gösteren
											sıfırıncı yasasını yayınladı;
											bu yasa bir robotun genel olarak
insanlığa zarar veremeyeceğini belirtiyor.
											Bu yasanın, sürücüsüz arabalar konusunda
											veya belirli bir durumdaki
yerini bilmiyorum.
											Bunu nasıl yürürlüğe
koyacağımızı da bilmiyorum,
											fakat sürücüsüz araba düzenlemesinin,
											yalnızca bir teknolojik problem olduğunu
değil de, aynı zamanda toplumsal uzlaşma
											problemi olduğunu kabul edersek,
											umuyorum ki, en azından sonunda
doğru soruları sormaya başlayabileceğiz.
									","
											En 1940, Isaac Asimov escribió
sus famosas leyes de la robótica;
											las tres leyes de la robótica.
											Un robot no hará daño al ser humano,
											un robot debe obedecer al ser humano,
											y un robot debe preservarse a sí mismo.
											En ese orden de importancia.
											Pero después de 40 años más o menos,
											y después de tantas historias
que llevaron estas leyes al límite,
											Asimov introdujo la ley cero,
											que precede a las demás,
											y es que un robot
no hará daño a la Humanidad.
											No sé qué quiere decir esto
en el contexto de los vehículos autónomos,
											o en cualquier situación específica,
											y no sé cómo lo podemos implementar,
											pero creo que reconociendo
											que la regulación de vehículos autónomos
no es solo un problema tecnológico
											sino también un problema
de cooperación social,
											espero que podamos al menos empezar
a hacer las preguntas adecuadas.
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
											Thank you.
									","
											Obrigado.
									","
											Danke.
									","
											Merci.
									","
											Teşekkürler.
									","
											Gracias.
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
											(Applause)
									","
											(Aplausos)
									","
											(Applaus)
									","
											(Applaudissements)
									","
											(Alkışlar)
									","
											(Aplausos)
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
